değildir	değil+Verb+Neg+Pres+A3sg+Cop
iyisidir	iyi+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güncelleştirilmiştir	güncel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
kimdir	kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güçlüdür	güç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çalmaktır	çal+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedenlerdir	ne+Pron+Ques+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3pl+Cop
beladır	bela+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
meselesidir	mesele+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
abartılıdır	abartı+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
gösteriştir	göster+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dönmüştür	dön+Verb+Pos+Narr+A3sg+Cop
günlerdir	gün+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
markasıdır	marka+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güçlendirmeyeceğidir	güç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
derinleşmesidir	derin+Adj^DB+Verb+Become+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
satıcısıdır	sat+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
üyemdir	üye+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
anlaşılacaktır	anlaş+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
haklıdır	hak+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
kalmışlardır	kal+Verb+Pos+Narr+A3pl+Cop
oynanmamıştır	oyna+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
içinizdedir	iç+Noun+A3sg+P2pl+Loc^DB+Verb+Zero+Pres+A3sg+Cop
nasıldır	nasıl+Adj^DB+Verb+Zero+Pres+A3sg+Cop
ayarlayacaktır	ayarla+Verb+Pos+Fut+A3sg+Cop
tutkumdur	tutku+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmektedir	et+Verb+Pos+Prog2+A3sg+Cop
koyacaktır	koy+Verb+Pos+Fut+A3sg+Cop
zorunludur	zorunlu+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sürmektedir	sür+Verb+Pos+Prog2+A3sg+Cop
dışlanmamalıdır	dışla+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
getirecektir	getir+Verb+Pos+Fut+A3sg+Cop
biliyorsunuzdur	bile+Verb+Pos+Prog1+A2pl+Cop
çekmeyeceklerdir	çek+Verb+Neg+Fut+A3pl+Cop
bugündür	bugün+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çekecektir	çek+Verb+Pos+Fut+A3sg+Cop
sağlanmasıdır	sağla+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yürütülmüştür	yürü+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
gidilmiştir	git+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
saptanmıştır	sapta+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
hedeflenmektedir	hedefle+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
yapılmıştır	yap+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
gerçekleştirilmiştir	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
bulunmamaktadır	bulun+Verb+Neg+Prog2+A3sg+Cop
hançerdir	hançer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
süredir	süre+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
diyedir	diye+Postp+PCNom^DB+Verb+Zero+Pres+A3sg+Cop
yüzyıllardır	yüzyıl+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
bizimkidir	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
düşünüyorsunuzudur	düşünüyorsunuzu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalkmıştır	kalk+Verb+Pos+Narr+A3sg+Cop
hedeftir	hedef+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dostudur	dost+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bulunmuştur	bulun+Verb+Pos+Narr+A3sg+Cop
düşünülmüştür	düşün+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
yetmemiştir	yet+Verb+Neg+Narr+A3sg+Cop
maddesidir	madde+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
edilmesidir	et+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
uygulanacaktır	uygula+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
uygulanmalıdır	uygula+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
puandadır	puan+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
habersizdir	haber+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
yenmiştir	ye+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
atmaktadır	at+Verb+Pos+Prog2+A3sg+Cop
oynayacaktır	oyna+Verb+Pos+Fut+A3sg+Cop
inanmıştır	inan+Verb+Pos+Narr+A3sg+Cop
etmesidir	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gerekmektedir	gerek+Verb+Pos+Prog2+A3sg+Cop
görülecektir	gör+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
sayısındadır	sayı+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
işinizdir	iş+Noun+A3sg+P2pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kaldırılmıştır	kaldır+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
görmüştür	gör+Verb+Pos+Narr+A3sg+Cop
sonsuzdur	son+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
kısadır	kısa+Adj^DB+Verb+Zero+Pres+A3sg+Cop
içindeyimdir	iç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg+Cop
söyledikleridir	söyle+Verb+Pos^DB+Noun+PastPart+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şovdur	şov+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
haftalardır	hafta+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
yuvarlaktır	yuvarlak+Adj^DB+Verb+Zero+Pres+A3sg+Cop
temizliktir	temiz+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
alışkındır	alışkı+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tutuyordur	tut+Verb+Pos+Prog1+A3sg+Cop
taraftarıdır	taraftar+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmiştir	et+Verb+Pos+Narr+A3sg+Cop
açmaktadır	aç+Verb+Pos+Prog2+A3sg+Cop
anlaşılmaktadır	anlaş+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
önlemenizdir	önle+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ilginçtir	ilginç+Adj^DB+Verb+Zero+Pres+A3sg+Cop
tasarruflarıdır	tasarruf+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
biberidir	biber+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
maçtır	maç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
verecektir	ver+Verb+Pos+Fut+A3sg+Cop
gelecektir	gel+Verb+Pos+Fut+A3sg+Cop
sözdür	söz+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçirecektir	geç+Verb^DB+Verb+Caus+Pos+Fut+A3sg+Cop
sayesindedir	saye+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
sorulmalıdır	sor+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
kurumudur	kurum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özerktir	özerk+Adj^DB+Verb+Zero+Pres+A3sg+Cop
atamıştır	ata+Verb+Pos+Narr+A3sg+Cop
kaldırmıştır	kaldır+Verb+Pos+Narr+A3sg+Cop
yapmıştır	yap+Verb+Pos+Narr+A3sg+Cop
insandır	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hayrettir	hayret+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
azalacaktır	azal+Verb+Pos+Fut+A3sg+Cop
geçecektir	geç+Verb+Pos+Fut+A3sg+Cop
oluşturacaktır	oluş+Verb^DB+Verb+Caus+Pos+Fut+A3sg+Cop
söylemelidirler	söyle+Verb+Pos+Neces+A3pl+Cop
düşünmelidir	düşün+Verb+Pos+Neces+A3sg+Cop
mıdır	mı+Ques+Pres+A3sg+Cop
delidir	deli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
aynasıdır	ayna+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
meslektir	meslek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
konusudur	konu+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şudur	şu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
müdahaledir	müdahale+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ahlakıdır	ahlak+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hukukidir	hukuki+Adj^DB+Verb+Zero+Pres+A3sg+Cop
istenmektedir	iste+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
isteksizdir	istek+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
helaldir	helal+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nimetlerindendir	nimet+Noun+A3pl+P3sg+Abl^DB+Verb+Zero+Pres+A3sg+Cop
olmaktır	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olmamaktır	ol+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
haklarınızdır	hak+Noun+A3pl+P2pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
doğurmaktadır	doğ+Verb^DB+Verb+Caus+Pos+Prog2+A3sg+Cop
aykırıdır	aykırı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
hizmetimizdedirler	hizmet+Noun+A3sg+P1pl+Loc^DB+Verb+Zero+Pres+A3pl+Cop
kaydetmektedirler	kaydet+Verb+Pos+Prog2+A3pl+Cop
olayıdır	olay+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ülkesidir	ülke+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
inançtır	inanç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nettir	net+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dündür	dün+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iktidardır	iktidar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
davranacaktır	davran+Verb+Pos+Fut+A3sg+Cop
bitirmiştir	bit+Verb^DB+Verb+Caus+Pos+Narr+A3sg+Cop
kaynağıdır	kaynak+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
maşadır	maş+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A3sg+Cop
oynamaktadır	oyna+Verb+Pos+Prog2+A3sg+Cop
saymaktadır	say+Verb+Pos+Prog2+A3sg+Cop
yaratmışlardır	yara+Verb^DB+Verb+Caus+Pos+Narr+A3pl+Cop
numaradırlar	numara+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
güçlüdürler	güç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3pl+Cop
vakadır	vaka+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çalışacaklardır	çalış+Verb+Pos+Fut+A3pl+Cop
edebilecektir	et+Verb+Pos^DB+Verb+Able+Fut+A3sg+Cop
bitmiştir	bit+Verb+Pos+Narr+A3sg+Cop
gelenekseldir	geleneksel+Adj^DB+Verb+Zero+Pres+A3sg+Cop
dindardır	dindar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çelebidir	çelebi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
affetmeyecektir	affet+Verb+Neg+Fut+A3sg+Cop
sergilemişlerdir	sergile+Verb+Pos+Narr+A3pl+Cop
unutulmamalıdır	unut+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
olduğudur	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
uçmuştur	uç+Verb+Pos+Narr+A3sg+Cop
gönderilmiştir	gönder+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
buradadır	bura+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
kurtulmasıdır	kurtul+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
imamımızdır	imam+Noun+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kişiliktir	kişi+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sağlanmaktadır	sağla+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
kesindir	kesin+Adj^DB+Verb+Zero+Pres+A3sg+Cop
tutulmaktadır	tut+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
bırakılmaktadır	bırak+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
olmaktadır	ol+Verb+Pos+Prog2+A3sg+Cop
arasındadır	ara+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
başlamaktadır	başla+Verb+Pos+Prog2+A3sg+Cop
etmişlerdir	et+Verb+Pos+Narr+A3pl+Cop
geçilmesidir	geç+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
oluşmaktadır	oluş+Verb+Pos+Prog2+A3sg+Cop
etkilidir	etki+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
okutmaktadır	oku+Verb^DB+Verb+Caus+Pos+Prog2+A3sg+Cop
vazgeçilmemelidir	vazgeç+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
görevlidir	görev+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çökmüştür	çök+Verb+Pos+Narr+A3sg+Cop
bulmamaktadır	bul+Verb+Neg+Prog2+A3sg+Cop
çıkmaktadır	çık+Verb+Pos+Prog2+A3sg+Cop
görülmeyecektir	gör+Verb^DB+Verb+Pass+Neg+Fut+A3sg+Cop
olmadığıdır	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dağılacaktır	dağıl+Verb+Pos+Fut+A3sg+Cop
ifadesidir	ifade+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
harekettir	hareket+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hareketidir	hareket+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hareketlerdir	hareket+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
girişimidir	girişim+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sonuçlandırmaktır	sonuç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tartışabilmektir	tartış+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ifadedir	ifade+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
doldurulmalıdır	dol+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
uyarıdır	uyarı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tartışmaktır	tartış+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hükümetindir	hükümet+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A3sg+Cop
gözükmektedir	gözük+Verb+Pos+Prog2+A3sg+Cop
konuşacaklardır	konuş+Verb+Pos+Fut+A3pl+Cop
kıymetlidir	kıymet+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
lükstür	lüks+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gizlidir	giz+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
hadisedir	hadis+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A3sg+Cop
kılavuzdur	kılavuz+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
haktır	hak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olaydır	olay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
davasıdır	dava+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
göstergesidir	gösterge+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
demişizdir	de+Verb+Pos+Narr+A1pl+Cop
demiştir	de+Verb+Pos+Narr+A3sg+Cop
istemiştir	iste+Verb+Pos+Narr+A3sg+Cop
görmüşsünüzdür	gör+Verb+Pos+Narr+A2pl+Cop
yorumlanmaktadır	yorumla+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
kaynaklanabilmektedir	kaynakla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Prog2+A3sg+Cop
olacaklardır	ol+Verb+Pos+Fut+A3pl+Cop
kalmamalıdır	kal+Verb+Neg+Neces+A3sg+Cop
uymamıştır	uy+Verb+Neg+Narr+A3sg+Cop
uyamamıştır	uy+Verb^DB+Verb+Able+Neg+Narr+A3sg+Cop
bırakmıştır	bırak+Verb+Pos+Narr+A3sg+Cop
büzülmüşlerdir	büz+Verb^DB+Verb+Pass+Pos+Narr+A3pl+Cop
yaralamıştır	yarala+Verb+Pos+Narr+A3sg+Cop
yakıştırmadır	yakış+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
vatanseverliktir	vatansever+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zamanıdır	zaman+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
doğurmuştur	doğ+Verb^DB+Verb+Caus+Pos+Narr+A3sg+Cop
bellidir	belli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
girilmiştir	gir+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
büyümektedir	büyü+Verb+Pos+Prog2+A3sg+Cop
deneyimdir	deneyim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalaydır	kalay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özelliktir	özellik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
derinleştirilmesidir	derin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hobidir	hobi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
meraklıyımdır	merak+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg+Cop
ediyordur	et+Verb+Pos+Prog1+A3sg+Cop
birşeydir	birşey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hesaplıdır	hesap+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çapkındır	çapkın+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gidecektir	git+Verb+Pos+Fut+A3sg+Cop
şeylerdir	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
sorulardır	soru+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
öğrenilemeyeceğidir	öğren+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
söylememiştir	söyle+Verb+Neg+Narr+A3sg+Cop
topraktır	toprak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedendir	ne+Pron+Ques+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3sg+Cop
gerçektir	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belgelidir	belge+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
hikáyemizdir	hikaye+Noun+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aşklardır	aşk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
atmıştır	at+Verb+Pos+Narr+A3sg+Cop
atılmıştır	at+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
değillerdir	değil+Verb+Neg+Pres+A3pl+Cop
yeğenidir	yeğen+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ağabeyidir	ağabey+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
paldır	pal+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
düşünmüyordur	düşün+Verb+Neg+Prog1+A3sg+Cop
huyudur	huy+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
edebiyattır	edebiyat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bakılmıştır	bak+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
anlaşılmıştır	anlaş+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
konuştur	kon+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geliyordur	gel+Verb+Pos+Prog1+A3sg+Cop
alınmıştır	al+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
malumdur	malum+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
birisidir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tanımışsınızdır	tanı+Verb+Pos+Narr+A2pl+Cop
olmuşumdur	ol+Verb+Pos+Narr+A1sg+Cop
yansımıştır	yansı+Verb+Pos+Narr+A3sg+Cop
ödetilmiştir	öde+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
vazgeçilmezdir	vazgeç+Verb^DB+Verb+Pass+Neg^DB+Adj+AorPart^DB+Verb+Zero+Pres+A3sg+Cop
bendir	ben+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yeridir	yer+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kaybettirmiştir	kaybet+Verb^DB+Verb+Caus+Pos+Narr+A3sg+Cop
yargılanmalıdır	yargıla+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
sorumluluğudur	sorum+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Ness+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bütünleşmiştir	bütün+Adj^DB+Verb+Become+Pos+Narr+A3sg+Cop
yaratıklardır	yaratık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
uyuşuktur	uyuşuk+Adj^DB+Verb+Zero+Pres+A3sg+Cop
beceriksizdir	becerik+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
meşguldür	meşgul+Adj^DB+Verb+Zero+Pres+A3sg+Cop
derttir	dert+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
düşecektir	düş+Verb+Pos+Fut+A3sg+Cop
adımıdır	adım+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seyirdir	seyir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapacaktır	yap+Verb+Pos+Fut+A3sg+Cop
temelidir	temel+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zayıftır	zayıf+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kaçınılmazdır	kaçınılmaz+Adj^DB+Verb+Zero+Pres+A3sg+Cop
şarttır	şart+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalacaktır	kal+Verb+Pos+Fut+A3sg+Cop
değerlenecektir	değerle+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
kaybedecektir	kaybet+Verb+Pos+Fut+A3sg+Cop
