imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
aranmış	ara+Verb^DB+Verb+Pass+Pos+Narr+A3sg
düşürülmüş	düş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
anlaşılmış	anlaş+Verb^DB+Verb+Pass+Pos+Narr+A3sg
benimsenmiş	benimse+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sorulmuş	sor+Verb^DB+Verb+Pass+Pos+Narr+A3sg
öngörülmüş	öngör+Verb^DB+Verb+Pass+Pos+Narr+A3sg
araştırılmış	araştır+Verb^DB+Verb+Pass+Pos+Narr+A3sg
gelmişse	gel+Verb+Pos+Narr+Cond+A3sg
aşındırılmış	aşın+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gidiyormuş	git+Verb+Pos+Prog1+Narr+A3sg
atılıyormuş	at+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
ilerideymiş	ileri+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
yaratılacakmış	yara+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+Narr+A3sg
yönlendirmiş	yön+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Narr+A3sg
demişler	de+Verb+Pos+Narr+A3pl
gelmişmiş	gel+Verb+Pos+Narr+Narr+A3sg
vermişmiş	ver+Verb+Pos+Narr+Narr+A3sg
kullanmıyormuş	kullan+Verb+Neg+Prog1+Narr+A3sg
unutmuşlar	unut+Verb+Pos+Narr+A3pl
tetiklemiş	tetikle+Verb+Pos+Narr+A3sg
uyandırmış	uyan+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yazmışsınız	yaz+Verb+Pos+Narr+A2pl
sürmüş	sür+Verb+Pos+Narr+A3sg
doğmuşsunuz	doğ+Verb+Pos+Narr+A2pl
yapmışlar	yap+Verb+Pos+Narr+A3pl
yargılamış	yargıla+Verb+Pos+Narr+A3sg
yaşamışız	yaşa+Verb+Pos+Narr+A1pl
adanmış	ada+Verb^DB+Verb+Pass+Pos+Narr+A3sg
giydirilmiş	giy+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
seçmişim	seç+Verb+Pos+Narr+A1sg
etmişim	et+Verb+Pos+Narr+A1sg
yapamamış	yap+Verb^DB+Verb+Able+Neg+Narr+A3sg
kesecekmişsiniz	kes+Verb+Pos+Fut+Narr+A2pl
kıpırdatmamış	kıpırda+Verb^DB+Verb+Caus+Neg+Narr+A3sg
gerçekleşiyormuş	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Prog1+Narr+A3sg
gözlemlemiş	gözlemle+Verb+Pos+Narr+A3sg
vermemişse	ver+Verb+Neg+Narr+Cond+A3sg
alıkoymuş	alıkoy+Verb+Pos+Narr+A3sg
alıştırılmış	alış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gerçekleştirmiş	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Narr+A3sg
üretmiş	üre+Verb^DB+Verb+Caus+Pos+Narr+A3sg
eskitilmiş	eski+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sergilemiş	sergile+Verb+Pos+Narr+A3sg
gizlemiş	gizle+Verb+Pos+Narr+A3sg
davranmış	davran+Verb+Pos+Narr+A3sg
giymişse	giy+Verb+Pos+Narr+Cond+A3sg
toparlamış	toparla+Verb+Pos+Narr+A3sg
sarmalanmış	sarmala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kuşatılmış	kuşat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
güvenmiş	güven+Verb+Pos+Narr+A3sg
kazılmış	kaz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
alanındaymış	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Narr+A3sg
kavuşamamış	kavuş+Verb^DB+Verb+Able+Neg+Narr+A3sg
resmedilmiş	resmet+Verb^DB+Verb+Pass+Pos+Narr+A3sg
vermemiş	ver+Verb+Neg+Narr+A3sg
olmasıymış	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
ağlamış	ağla+Verb+Pos+Narr+A3sg
saldırmış	sal+Verb^DB+Verb+Caus+Pos+Narr+A3sg
kurdurmuş	kur+Verb^DB+Verb+Caus+Pos+Narr+A3sg
olmuşum	ol+Verb+Pos+Narr+A1sg
okumuşum	oku+Verb+Pos+Narr+A1sg
çekmişler	çek+Verb+Pos+Narr+A3pl
sokuşturmuş	sokuş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yutmuş	yut+Verb+Pos+Narr+A3sg
minikmiş	minik+Adj^DB+Verb+Zero+Narr+A3sg
şaşırmışlar	şaşır+Verb+Pos+Narr+A3pl
gelmişler	gel+Verb+Pos+Narr+A3pl
yememiş	ye+Verb+Neg+Narr+A3sg
addetmiş	addet+Verb+Pos+Narr+A3sg
sinirlenmişler	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3pl
patlamış	patla+Verb+Pos+Narr+A3sg
kaymış	kay+Verb+Pos+Narr+A3sg
beğenmemişsem	beğen+Verb+Neg+Narr+Cond+A1sg
geçermiş	geç+Verb+Pos+Aor+Narr+A3sg
sağlanabilmiş	sağla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Narr+A3sg
geliştirmiş	geliş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
dağılmışlar	dağıl+Verb+Pos+Narr+A3pl
korumuş	koru+Verb+Pos+Narr+A3sg
zenginleşmiş	zengin+Adj^DB+Verb+Become+Pos+Narr+A3sg
aramışlar	ara+Verb+Pos+Narr+A3pl
izlemiş	izle+Verb+Pos+Narr+A3sg
kuruluvermiş	kur+Verb^DB+Verb+Pass+Pos^DB+Verb+Hastily+Narr+A3sg
aklındaymış	akıl+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Narr+A3sg
yoğrulmuş	yoğur+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tatmamış	tat+Verb+Neg+Narr+A3sg
sunabilmiş	sun+Verb+Pos^DB+Verb+Able+Narr+A3sg
dizilmiş	diz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
üretmişler	üre+Verb^DB+Verb+Caus+Pos+Narr+A3pl
gidilmiş	git+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bezmiş	bez+Verb+Pos+Narr+A3sg
etkilenmişse	etkile+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
başlanmış	başla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
getirmişler	getir+Verb+Pos+Narr+A3pl
öğretmiş	öğret+Verb+Pos+Narr+A3sg
bozdurmuş	boz+Verb^DB+Verb+Caus+Pos+Narr+A3sg
tanıtmış	tanı+Verb^DB+Verb+Caus+Pos+Narr+A3sg
gerilemiş	gerile+Verb+Pos+Narr+A3sg
alevlenmiş	alev+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
dokunmuş	doku+Verb^DB+Verb+Pass+Pos+Narr+A3sg
olabilmiş	ol+Verb+Pos^DB+Verb+Able+Narr+A3sg
kazandırmış	kazan+Verb^DB+Verb+Caus+Pos+Narr+A3sg
seyreltilmiş	seyrel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
kullanılacakmış	kullan+Verb^DB+Verb+Pass+Pos+Fut+Narr+A3sg
aşamamış	aş+Verb^DB+Verb+Able+Neg+Narr+A3sg
kanunuymuş	kanun+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
açmışlar	aç+Verb+Pos+Narr+A3pl
çalışmamış	çalış+Verb+Neg+Narr+A3sg
gerekiyormuş	gerek+Verb+Pos+Prog1+Narr+A3sg
işiymiş	iş+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
katılmışlar	kat+Verb^DB+Verb+Pass+Pos+Narr+A3pl
genişletmiş	genişle+Verb^DB+Verb+Caus+Pos+Narr+A3sg
keşfetmişler	keşfet+Verb+Pos+Narr+A3pl
taşıyacaklarmış	taşı+Verb+Pos+Fut+A3pl+Narr
atmışlar	at+Verb+Pos+Narr+A3pl
görüşmüş	görüş+Verb+Pos+Narr+A3sg
noktalanmış	noktala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
belgelemiş	belgele+Verb+Pos+Narr+A3sg
ispatlamış	ispatla+Verb+Pos+Narr+A3sg
heyecanlandırmış	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Narr+A3sg
yararlanmış	yarar+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
durdurmuş	dur+Verb^DB+Verb+Caus+Pos+Narr+A3sg
alametmiş	alamet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
tutmamış	tut+Verb+Neg+Narr+A3sg
delaletmiş	delalet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
yansıtılmış	yansı+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
uygulamaymış	uygula+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
almışsınız	al+Verb+Pos+Narr+A2pl
hedeflemiş	hedefle+Verb+Pos+Narr+A3sg
şekillenmiş	şekil+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
kovalamış	kovala+Verb+Pos+Narr+A3sg
satılmış	sat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
ödememişler	öde+Verb+Neg+Narr+A3pl
ödememiş	öde+Verb+Neg+Narr+A3sg
kapanmış	kapa+Verb^DB+Verb+Pass+Pos+Narr+A3sg
azalmışsa	azal+Verb+Pos+Narr+Cond+A3sg
kavuşmuş	kavuş+Verb+Pos+Narr+A3sg
tanışmazlarmış	tanış+Verb+Neg+Aor+A3pl+Narr
kesişmiş	kesiş+Verb+Pos+Narr+A3sg
arkadaşlarıymış	arkadaş+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
olamamış	ol+Verb^DB+Verb+Able+Neg+Narr+A3sg
bastırmış	bas+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yorumlanmış	yorumla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yükselmiş	yüksel+Verb+Pos+Narr+A3sg
sarsılmış	sars+Verb^DB+Verb+Pass+Pos+Narr+A3sg
atılmış	at+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kavrulmuş	kavur+Verb^DB+Verb+Pass+Pos+Narr+A3sg
karıştırılmış	karış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
uzmanlaşmış	uzman+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
ayırmış	ayır+Verb+Pos+Narr+A3sg
gelmekmiş	gel+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
şeklindeymiş	şekil+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Narr+A3sg
düşünürmüş	düşün+Verb+Pos+Aor+Narr+A3sg
pişirilmiş	piş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
geçirilmiş	geç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
kızartılmış	kızar+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sıkılmış	sık+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çorbasıymış	çorba+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
lokantasıymış	lokanta+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
doldurulmuş	dol+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gelişmemiş	geliş+Verb+Neg+Narr+A3sg
kıyılmış	kıy+Verb^DB+Verb+Pass+Pos+Narr+A3sg
esmişse	es+Verb+Pos+Narr+Cond+A3sg
soruyormuşum	sor+Verb+Pos+Prog1+Narr+A1sg
veriyormuşum	ver+Verb+Pos+Prog1+Narr+A1sg
harcamışım	harca+Verb+Pos+Narr+A1sg
geçirmişim	geç+Verb^DB+Verb+Caus+Pos+Narr+A1sg
değiştiriyormuşum	değiş+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A1sg
tanışmış	tanış+Verb+Pos+Narr+A3sg
fırınlanmış	fırınla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
etmişiz	et+Verb+Pos+Narr+A1pl
örtülmüş	ört+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çevrelenmiş	çevrele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
adaymış	ad+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Narr+A3sg
basmış	bas+Verb+Pos+Narr+A3sg
kurtarılmış	kurtar+Verb^DB+Verb+Pass+Pos+Narr+A3sg
uçmuş	uç+Verb+Pos+Narr+A3sg
çalıştırmış	çalış+Verb^DB+Verb+Caus+Pos+Narr+A3sg
bakakalmış	bak+Verb+Pos^DB+Verb+Stay+Narr+A3sg
yapıyorlarmış	yap+Verb+Pos+Prog1+A3pl+Narr
iletmişsiniz	ilet+Verb+Pos+Narr+A2pl
mendilmiş	mendil+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
geçmişler	geç+Verb+Pos+Narr+A3pl
girmişler	gir+Verb+Pos+Narr+A3pl
yenemiyormuş	ye+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+Narr+A3sg
boğmuş	boğ+Verb+Pos+Narr+A3sg
kaybetmişim	kaybet+Verb+Pos+Narr+A1sg
patlatmışlar	patla+Verb^DB+Verb+Caus+Pos+Narr+A3pl
oluşturmuşlar	oluş+Verb^DB+Verb+Caus+Pos+Narr+A3pl
getirememişler	getir+Verb^DB+Verb+Able+Neg+Narr+A3pl
keşfetmiş	keşfet+Verb+Pos+Narr+A3sg
bekletilmiş	bekle+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
mayalanmış	mayala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
paketlenmiş	paketle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yağlanmış	yağla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bezenmiş	beze+Verb^DB+Verb+Pass+Pos+Narr+A3sg
varmışçasına	var+Verb+Pos+Narr+A3sg^DB+Adverb+AsIf
azalmış	azal+Verb+Pos+Narr+A3sg
seçermiş	seç+Verb+Pos+Aor+Narr+A3sg
bulunurmuş	bulun+Verb+Pos+Aor+Narr+A3sg
götürürmüş	götür+Verb+Pos+Aor+Narr+A3sg
verilirmiş	ver+Verb^DB+Verb+Pass+Pos+Aor+Narr+A3sg
kükrüyormuş	kükre+Verb+Pos+Prog1+Narr+A3sg
kısılmış	kıs+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yetmezmiş	yet+Verb+Neg+Aor+Narr+A3sg
kopmuş	kop+Verb+Pos+Narr+A3sg
düşünülmüş	düşün+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yanaşmış	yanaş+Verb+Pos+Narr+A3sg
koydurmuş	koy+Verb^DB+Verb+Caus+Pos+Narr+A3sg
gütmüş	güt+Verb+Pos+Narr+A3sg
yürütmüş	yürü+Verb^DB+Verb+Caus+Pos+Narr+A3sg
donanmış	donan+Verb+Pos+Narr+A3sg
kurmuşuz	kur+Verb+Pos+Narr+A1pl
sembolleşmiş	sembol+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
almışım	al+Verb+Pos+Narr+A1sg
düzelmiş	düzel+Verb+Pos+Narr+A3sg
belirtmişsiniz	belir+Verb^DB+Verb+Caus+Pos+Narr+A2pl
demişsiniz	de+Verb+Pos+Narr+A2pl
yazdırmış	yaz+Verb^DB+Verb+Caus+Pos+Narr+A3sg
kiralamışlar	kirala+Verb+Pos+Narr+A3pl
yalanlanmışım	yalanla+Verb^DB+Verb+Pass+Pos+Narr+A1sg
yalanlamış	yalanla+Verb+Pos+Narr+A3sg
yayınlanmış	yayınla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tekrarlamış	tekrarla+Verb+Pos+Narr+A3sg
duyulmuş	duy+Verb^DB+Verb+Pass+Pos+Narr+A3sg
başvurulmamış	başvur+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yaramış	yara+Verb+Pos+Narr+A3sg
tutuyormuş	tut+Verb+Pos+Prog1+Narr+A3sg
göstermişler	göster+Verb+Pos+Narr+A3pl
doymuş	doy+Verb+Pos+Narr+A3sg
geçirmemiş	geç+Verb^DB+Verb+Caus+Neg+Narr+A3sg
açıklamış	açıkla+Verb+Pos+Narr+A3sg
çakılmış	çak+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sormuşlar	sor+Verb+Pos+Narr+A3pl
yanıtlamış	yanıtla+Verb+Pos+Narr+A3sg
faydalanılmış	fayda+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Pass+Pos+Narr+A3sg
ikonlaşmış	ikon+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
giyilmiş	giy+Verb^DB+Verb+Pass+Pos+Narr+A3sg
duyurmuş	duyur+Verb+Pos+Narr+A3sg
verecekmiş	ver+Verb+Pos+Fut+Narr+A3sg
getirmemişsin	getir+Verb+Neg+Narr+A2sg
ilgilenmemiş	ilgilen+Verb+Neg+Narr+A3sg
demişim	de+Verb+Pos+Narr+A1sg
zayıflamışsın	zayıfla+Verb+Pos+Narr+A2sg
bırakmışlar	bırak+Verb+Pos+Narr+A3pl
karşılamış	karşıla+Verb+Pos+Narr+A3sg
vermemişler	ver+Verb+Neg+Narr+A3pl
yapıyormuşum	yap+Verb+Pos+Prog1+Narr+A1sg
uyduruyormuşum	uy+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A1sg
koymuşlar	koy+Verb+Pos+Narr+A3pl
kutsanmış	kutsa+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kısırlaştırılmış	kısır+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
kıstırılmış	kıs+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
ölmeyecekmiş	öl+Verb+Neg+Fut+Narr+A3sg
harmanlanmış	harmanla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
devirmiş	devir+Verb+Pos+Narr+A3sg
edermiş	et+Verb+Pos+Aor+Narr+A3sg
geçebilmiş	geç+Verb+Pos^DB+Verb+Able+Narr+A3sg
ertelemiş	ertele+Verb+Pos+Narr+A3sg
dolduruyormuş	dol+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A3sg
yazdırıyormuş	yaz+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A3sg
uygulanıyormuş	uygula+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
sistemmiş	sistem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
dayanıyormuş	daya+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
öğrenilemezmiş	öğren+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Narr+A3sg
giyilmemiş	giy+Verb^DB+Verb+Pass+Neg+Narr+A3sg
olabilirmişim	ol+Verb+Pos^DB+Verb+Able+Aor+Narr+A1sg
kırılmışsa	kır+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
unutmuşum	unut+Verb+Pos+Narr+A1sg
boşaltılmış	boşal+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
dağıtılmamış	dağıt+Verb^DB+Verb+Pass+Neg+Narr+A3sg
bıçaklanmış	bıçakla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dökmemiş	dök+Verb+Neg+Narr+A3sg
endekslenmiş	endeksle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
temizletmiş	temizle+Verb^DB+Verb+Caus+Pos+Narr+A3sg
küçülmüş	küçül+Verb+Pos+Narr+A3sg
artmamış	art+Verb+Neg+Narr+A3sg
zamlanmış	zam+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
kutlamış	kutla+Verb+Pos+Narr+A3sg
harcanmış	harca+Verb^DB+Verb+Pass+Pos+Narr+A3sg
varılmış	var+Verb^DB+Verb+Pass+Pos+Narr+A3sg
önlenmiş	önle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yönetmiş	yönet+Verb+Pos+Narr+A3sg
aktifleştirilmiş	aktif+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
toplulaştırılmış	toplu+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
planlıyormuş	planla+Verb+Pos+Prog1+Narr+A3sg
etmemişler	et+Verb+Neg+Narr+A3pl
varmamış	var+Verb+Neg+Narr+A3sg
programlarıymış	program+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
seyrediyormuş	seyret+Verb+Pos+Prog1+Narr+A3sg
izlemiyormuş	izle+Verb+Neg+Prog1+Narr+A3sg
izliyorlarmış	izle+Verb+Pos+Prog1+A3pl+Narr
bayılıyormuş	bayıl+Verb+Pos+Prog1+Narr+A3sg
demiyorlarmış	de+Verb+Neg+Prog1+A3pl+Narr
pişmemiş	piş+Verb+Neg+Narr+A3sg
sürdürmüş	sür+Verb^DB+Verb+Caus+Pos+Narr+A3sg
tuzlanmış	tuzla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
öğütülmüş	öğüt+Verb^DB+Verb+Pass+Pos+Narr+A3sg
zenginleştirilmiş	zengin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gelmemiş	gel+Verb+Neg+Narr+A3sg
