indi	in+Verb+Pos+Past+A3sg
hançerlediler	hançerle+Verb+Pos+Past+A3pl
doladık	dola+Verb+Pos+Past+A1pl
hesapladım	hesapla+Verb+Pos+Past+A1sg
inceledim	incele+Verb+Pos+Past+A1sg
erteledi	ertele+Verb+Pos+Past+A3sg
patlamadı	patla+Verb+Neg+Past+A3sg
yayınladık	yayınla+Verb+Pos+Past+A1pl
kıldı	kıl+Verb+Pos+Past+A3sg
açmadık	aç+Verb+Neg+Past+A1pl
sıraladı	sırala+Verb+Pos+Past+A3sg
paylaştı	paylaş+Verb+Pos+Past+A3sg
sevdiniz	sev+Verb+Pos+Past+A2pl
sıralamadı	sırala+Verb+Neg+Past+A3sg
aktardı	aktar+Verb+Pos+Past+A3sg
yanıtladılar	yanıtla+Verb+Pos+Past+A3pl
yetindik	yetin+Verb+Pos+Past+A1pl
temizledi	temizle+Verb+Pos+Past+A3sg
yıldı	yıl+Verb+Pos+Past+A3sg
kullanmadı	kullan+Verb+Neg+Past+A3sg
sıraladılar	sırala+Verb+Pos+Past+A3pl
giriştiler	giriş+Verb+Pos+Past+A3pl
esti	es+Verb+Pos+Past+A3sg
gürledi	gürle+Verb+Pos+Past+A3sg
kestik	kes+Verb+Pos+Past+A1pl
aşağıladı	aşağıla+Verb+Pos+Past+A3sg
oluşmadı	oluş+Verb+Neg+Past+A3sg
toparladınız	toparla+Verb+Pos+Past+A2pl
güvenmedim	güven+Verb+Neg+Past+A1sg
kullanmadım	kullan+Verb+Neg+Past+A1sg
güvendim	güven+Verb+Pos+Past+A1sg
küstüm	küs+Verb+Pos+Past+A1sg
yaşamadım	yaşa+Verb+Neg+Past+A1sg
kutladık	kutla+Verb+Pos+Past+A1pl
almadın	al+Verb+Neg+Past+A2sg
bildi	bil+Verb+Pos+Past+A3sg
çuvalladım	çuvalla+Verb+Pos+Past+A1sg
zayıfladım	zayıfla+Verb+Pos+Past+A1sg
yadırgamadınız	yadırga+Verb+Neg+Past+A2pl
sorgulamadım	sorgula+Verb+Neg+Past+A1sg
yaşamadınız	yaşa+Verb+Neg+Past+A2pl
yadırgamadılar	yadırga+Verb+Neg+Past+A3pl
demediler	de+Verb+Neg+Past+A3pl
özendin	özen+Verb+Pos+Past+A2sg
düşmedim	düş+Verb+Neg+Past+A1sg
zorladım	zorla+Verb+Pos+Past+A1sg
yolladılar	yolla+Verb+Pos+Past+A3pl
büyüdüler	büyü+Verb+Pos+Past+A3pl
duyurduk	duyur+Verb+Pos+Past+A1pl
yanıtlamadı	yanıtla+Verb+Neg+Past+A3sg
seçmediniz	seç+Verb+Neg+Past+A2pl
yürümedi	yürü+Verb+Neg+Past+A3sg
duymadı	duy+Verb+Neg+Past+A3sg
ispatladım	ispatla+Verb+Pos+Past+A1sg
gönderdik	gönder+Verb+Pos+Past+A1pl
yakıştı	yakış+Verb+Pos+Past+A3sg
öldüm	öl+Verb+Pos+Past+A1sg
dirildim	diril+Verb+Pos+Past+A1sg
çağırdılar	çağır+Verb+Pos+Past+A3pl
eğlendik	eğlen+Verb+Pos+Past+A1pl
gittin	git+Verb+Pos+Past+A2sg
sevmediniz	sev+Verb+Neg+Past+A2pl
sergiledi	sergile+Verb+Pos+Past+A3sg
küçümsedi	küçümse+Verb+Pos+Past+A3sg
yadırgadı	yadırga+Verb+Pos+Past+A3sg
kazdılar	kaz+Verb+Pos+Past+A3pl
oldun	ol+Verb+Pos+Past+A2sg
girmedik	gir+Verb+Neg+Past+A1pl
ezberlediniz	ezberle+Verb+Pos+Past+A2pl
daldım	dal+Verb+Pos+Past+A1sg
çarptım	çarp+Verb+Pos+Past+A1sg
büyüdük	büyü+Verb+Pos+Past+A1pl
dövdü	döv+Verb+Pos+Past+A3sg
okudunuz	oku+Verb+Pos+Past+A2pl
işledim	işle+Verb+Pos+Past+A1sg
araştırdım	araştır+Verb+Pos+Past+A1sg
karşılaştırdı	karşılaştır+Verb+Pos+Past+A3sg
yakaladınız	yakala+Verb+Pos+Past+A2pl
ulaştılar	ulaş+Verb+Pos+Past+A3pl
haczetti	haczet+Verb+Pos+Past+A3sg
feshetti	feshet+Verb+Pos+Past+A3sg
kıstılar	kıs+Verb+Pos+Past+A3pl
başlamadı	başla+Verb+Neg+Past+A3sg
önerdik	öner+Verb+Pos+Past+A1pl
konuştular	konuş+Verb+Pos+Past+A3pl
inandık	inan+Verb+Pos+Past+A1pl
kıldım	kıl+Verb+Pos+Past+A1sg
küçümsediler	küçümse+Verb+Pos+Past+A3pl
çekinmediler	çekin+Verb+Neg+Past+A3pl
açıkladık	açıkla+Verb+Pos+Past+A1pl
dinlemediler	dinle+Verb+Neg+Past+A3pl
katladık	katla+Verb+Pos+Past+A1pl
üzdünüz	üz+Verb+Pos+Past+A2pl
omuzladı	omuzla+Verb+Pos+Past+A3sg
