bulunuyor	bulun+Verb+Pos+Prog1+A3sg
kızıyorsunuz	kız+Verb+Pos+Prog1+A2pl
içerliyorum	içerle+Verb+Pos+Prog1+A1sg
geçiniyorum	geçin+Verb+Pos+Prog1+A1sg
bıkıyor	bık+Verb+Pos+Prog1+A3sg
arıyoruz	ara+Verb+Pos+Prog1+A1pl
yansıyor	yansı+Verb+Pos+Prog1+A3sg
arzuluyorum	arzula+Verb+Pos+Prog1+A1sg
özlüyorum	özle+Verb+Pos+Prog1+A1sg
alışıyor	alış+Verb+Pos+Prog1+A3sg
dolaşmıyorum	dolaş+Verb+Neg+Prog1+A1sg
özlüyorlar	özle+Verb+Pos+Prog1+A3pl
soruyorlar	sor+Verb+Pos+Prog1+A3pl
kısıtlamıyor	kısıtla+Verb+Neg+Prog1+A3sg
yaşamıyorum	yaşa+Verb+Neg+Prog1+A1sg
kazanmıyor	kazan+Verb+Neg+Prog1+A3sg
esiyor	es+Verb+Pos+Prog1+A3sg
kaydoluyor	kaydol+Verb+Pos+Prog1+A3sg
bırakıyorsunuz	bırak+Verb+Pos+Prog1+A2pl
getiriyorsunuz	getir+Verb+Pos+Prog1+A2pl
bocalıyorum	bocala+Verb+Pos+Prog1+A1sg
haykırıyor	haykır+Verb+Pos+Prog1+A3sg
azarlıyor	azarla+Verb+Pos+Prog1+A3sg
engelliyorsunuz	engelle+Verb+Pos+Prog1+A2pl
uyguluyorsunuz	uygula+Verb+Pos+Prog1+A2pl
uyguluyoruz	uygula+Verb+Pos+Prog1+A1pl
okşuyorum	okşa+Verb+Pos+Prog1+A1sg
sömürüyor	sömür+Verb+Pos+Prog1+A3sg
tırmanıyorlar	tırman+Verb+Pos+Prog1+A3pl
zorluyorlar	zorla+Verb+Pos+Prog1+A3pl
seyrediyoruz	seyret+Verb+Pos+Prog1+A1pl
zannetmiyorum	zannet+Verb+Neg+Prog1+A1sg
kızıyorum	kız+Verb+Pos+Prog1+A1sg
saymıyorum	say+Verb+Neg+Prog1+A1sg
korkuyoruz	kork+Verb+Pos+Prog1+A1pl
oluyoruz	ol+Verb+Pos+Prog1+A1pl
sunuyorum	sun+Verb+Pos+Prog1+A1sg
karşılaşıyor	karşılaş+Verb+Pos+Prog1+A3sg
karşılaşıyorlar	karşılaş+Verb+Pos+Prog1+A3pl
zayıflıyor	zayıfla+Verb+Pos+Prog1+A3sg
parçalıyorlar	parçala+Verb+Pos+Prog1+A3pl
başlıyoruz	başla+Verb+Pos+Prog1+A1pl
patlamıyor	patla+Verb+Neg+Prog1+A3sg
girmiyoruz	gir+Verb+Neg+Prog1+A1pl
karşılıyoruz	karşıla+Verb+Pos+Prog1+A1pl
sanmıyoruz	san+Verb+Neg+Prog1+A1pl
uygulamıyoruz	uygula+Verb+Neg+Prog1+A1pl
öngörüyor	öngör+Verb+Pos+Prog1+A3sg
bulunuyoruz	bulun+Verb+Pos+Prog1+A1pl
koşuyoruz	koş+Verb+Pos+Prog1+A1pl
kalıyoruz	kal+Verb+Pos+Prog1+A1pl
övüyor	öv+Verb+Pos+Prog1+A3sg
demiyoruz	de+Verb+Neg+Prog1+A1pl
sokuyoruz	sok+Verb+Pos+Prog1+A1pl
kanıtlıyor	kanıtla+Verb+Pos+Prog1+A3sg
beklemiyor	bekle+Verb+Neg+Prog1+A3sg
açıklamıyor	açıkla+Verb+Neg+Prog1+A3sg
yanmıyor	yan+Verb+Neg+Prog1+A3sg
bayılıyorlar	bayıl+Verb+Pos+Prog1+A3pl
korkmuyor	kork+Verb+Neg+Prog1+A3sg
yaklaşıyorum	yaklaş+Verb+Pos+Prog1+A1sg
taşıyorlar	taş+Verb+Pos+Prog1+A3pl
