geri	geri+Adverb
haldeyken	hal+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
yaştayken	yaş+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
dönünce	dön+Verb+Pos^DB+Adverb+When
işletirken	işle+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
görünüp	görün+Verb+Pos^DB+Adverb+AfterDoingSo
sömürerek	sömür+Verb+Pos^DB+Adverb+ByDoingSo
defalarca	defalarca+Adverb
getirilince	getir+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
olgunlaşınca	olgun+Adj^DB+Verb+Become+Pos^DB+Adverb+When
kandırıp	kan+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
uyarak	uy+Verb+Pos^DB+Adverb+ByDoingSo
yaklaşarak	yaklaş+Verb+Pos^DB+Adverb+ByDoingSo
bitkinleştirip	bitkin+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
morarıp	morar+Verb+Pos^DB+Adverb+AfterDoingSo
uçarken	uçar+Adj^DB+Verb+Zero^DB+Adverb+While
anımsayınca	anımsa+Verb+Pos^DB+Adverb+When
birgün	birgün+Adverb
bakınca	bak+Verb+Pos^DB+Adverb+When
ettirip	et+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
hastalanarak	hastalan+Verb+Pos^DB+Adverb+ByDoingSo
azarlayıp	azarla+Verb+Pos^DB+Adverb+AfterDoingSo
büyüyüp	büyü+Verb+Pos^DB+Adverb+AfterDoingSo
pişirip	piş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
kaçırınca	kaç+Verb^DB+Verb+Caus+Pos^DB+Adverb+When
kızarak	kız+Verb+Pos^DB+Adverb+ByDoingSo
tutuşturarak	tutuş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
habersizce	haber+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Adverb+Ly
çalışıp	çalış+Verb+Pos^DB+Adverb+AfterDoingSo
ihtiyarlayıp	ihtiyarla+Verb+Pos^DB+Adverb+AfterDoingSo
fırlatıp	fırla+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
fırçalanıp	fırçala+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
çıkartıp	çık+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
varsayarak	varsay+Verb+Pos^DB+Adverb+ByDoingSo
vermedikçe	ver+Verb+Neg^DB+Adverb+AsLongAs
okuyup	oku+Verb+Pos^DB+Adverb+AfterDoingSo
farkedip	farket+Verb+Pos^DB+Adverb+AfterDoingSo
yırtıp	yırt+Verb+Pos^DB+Adverb+AfterDoingSo
selamlayarak	selamla+Verb+Pos^DB+Adverb+ByDoingSo
ilaçlarken	ilaçla+Verb+Pos+Aor^DB+Adverb+While
hatırlayarak	hatırla+Verb+Pos^DB+Adverb+ByDoingSo
elele	elele+Adverb
kararlaştırıp	karar+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
hatırlatarak	hatırla+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
aldanarak	aldan+Verb+Pos^DB+Adverb+ByDoingSo
uyandırıp	uyan+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
emredince	emret+Verb+Pos^DB+Adverb+When
uyularak	uy+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
aitken	ait+Postp+PCDat^DB+Verb+Zero^DB+Adverb+While
değiştirirken	değiş+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
silinirken	sil+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
ayarlamadan	ayarla+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
bağlıyken	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero^DB+Adverb+While
çalıştırılıp	çalış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
etkinleştirilerek	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
eklerken	ekle+Verb+Pos+Aor^DB+Adverb+While
belirleyip	belirle+Verb+Pos^DB+Adverb+AfterDoingSo
görüntülerken	görüntüle+Verb+Pos+Aor^DB+Adverb+While
atanıp	ata+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bakmaksızın	bak+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
değiştirerek	değiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
hesaplayıp	hesapla+Verb+Pos^DB+Adverb+AfterDoingSo
tıklayarak	tıkla+Verb+Pos^DB+Adverb+ByDoingSo
ekleyerek	ekle+Verb+Pos^DB+Adverb+ByDoingSo
kullanılarak	kullan+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
tıklatıp	tıkla+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
tıklatarak	tıkla+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
kaydırıp	kay+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
seçip	seç+Verb+Pos^DB+Adverb+AfterDoingSo
tanımlayarak	tanımla+Verb+Pos^DB+Adverb+ByDoingSo
etkinleştirmeden	etkin+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
girişmeden	giriş+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
biçimlendirmedikçe	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Neg^DB+Adverb+AsLongAs
kullanırken	kullan+Verb+Pos+Aor^DB+Adverb+While
dönüştürürken	dönüş+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
girmeden	gir+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
başlatırken	başla+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
verilip	ver+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
engellenip	engelle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
alınarak	alın+Verb+Pos^DB+Adverb+ByDoingSo
yükseldikçe	yüksel+Verb+Pos^DB+Adverb+AsLongAs
uygularken	uygula+Verb+Pos+Aor^DB+Adverb+While
dayanarak	dayan+Verb+Pos^DB+Adverb+ByDoingSo
görüntülenip	görüntüle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kaydedilirken	kaydet+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
atayarak	ata+Verb+Pos^DB+Adverb+ByDoingSo
içerip	içer+Verb+Pos^DB+Adverb+AfterDoingSo
bakılmaksızın	bak+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
değiştirip	değiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
bırakılıp	bırak+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
silmeden	sil+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
gerektikçe	gerek+Verb+Pos^DB+Adverb+AsLongAs
ayarlayarak	ayarla+Verb+Pos^DB+Adverb+ByDoingSo
paylaşırken	paylaş+Verb+Pos+Aor^DB+Adverb+While
geçirerek	geç+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
sürükleyerek	sürükle+Verb+Pos^DB+Adverb+ByDoingSo
salt	salt+Adverb
eklenirken	ekle+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
düzenlenirken	düzenle+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
gönderilirken	gönder+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
düzenlerken	düzenle+Verb+Pos+Aor^DB+Adverb+While
silinip	sil+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kopyalayarak	kopyala+Verb+Pos^DB+Adverb+ByDoingSo
uygulanarak	uygula+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
seçerek	seç+Verb+Pos^DB+Adverb+ByDoingSo
yükseltip	yüksel+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
temizleyip	temizle+Verb+Pos^DB+Adverb+AfterDoingSo
kullanmayarak	kullan+Verb+Neg^DB+Adverb+ByDoingSo
yazarak	yaz+Verb+Pos^DB+Adverb+ByDoingSo
yazdırırken	yaz+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
zımbalayıp	zımbala+Verb+Pos^DB+Adverb+AfterDoingSo
uygulayarak	uygula+Verb+Pos^DB+Adverb+ByDoingSo
gerçekleştirirken	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
durumdayken	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
çizerken	çizer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
gerekip	gerek+Verb+Pos^DB+Adverb+AfterDoingSo
açılmadan	aç+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
katılarak	kat+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yenileyerek	yenile+Verb+Pos^DB+Adverb+ByDoingSo
gruplandırarak	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
oluşturup	oluş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
taşıyıp	taşı+Verb+Pos^DB+Adverb+AfterDoingSo
seçilmedikçe	seç+Verb^DB+Verb+Pass+Neg^DB+Adverb+AsLongAs
yanıtlamadan	yanıtla+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
kopyalayıp	kopyala+Verb+Pos^DB+Adverb+AfterDoingSo
olunarak	ol+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
döndürerek	dön+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
başvurarak	başvur+Verb+Pos^DB+Adverb+ByDoingSo
yapılandırırken	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
desteklenip	destekle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
gerektirip	gerek+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
yayınlanıp	yayınla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bulunmayıp	bul+Verb^DB+Verb+Pass+Neg^DB+Adverb+AfterDoingSo
giderirken	gider+Verb+Pos+Aor^DB+Adverb+While
işleyip	işle+Verb+Pos^DB+Adverb+AfterDoingSo
ayarlanıp	ayarla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
daraltıp	daral+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
kullanmadan	kullan+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
algılayıp	algıla+Verb+Pos^DB+Adverb+AfterDoingSo
uyararak	uyar+Verb+Pos^DB+Adverb+ByDoingSo
açıkken	açık+Adj^DB+Verb+Zero^DB+Adverb+While
yapılıp	yap+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
belirleyerek	belirle+Verb+Pos^DB+Adverb+ByDoingSo
kapatmadan	kapa+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
çıkarılarak	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
düzenleyerek	düzenle+Verb+Pos^DB+Adverb+ByDoingSo
oluşturulurken	oluş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
oluştururken	oluş+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
saklayarak	sakla+Verb+Pos^DB+Adverb+ByDoingSo
yüklemeden	yükle+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
denetleyerek	denetle+Verb+Pos^DB+Adverb+ByDoingSo
izleyerek	izle+Verb+Pos^DB+Adverb+ByDoingSo
ekleyip	ekle+Verb+Pos^DB+Adverb+AfterDoingSo
şifrelenip	şifrele+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
listelenip	listele+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kaydedip	kaydet+Verb+Pos^DB+Adverb+AfterDoingSo
kaydederken	kaydet+Verb+Pos+Aor^DB+Adverb+While
artırırken	art+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
karşılaştırarak	karşılaş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
yönlendirilerek	yön+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
durdurmadan	dur+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
bitmeden	bit+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
değiştirilmeden	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
doğrulanıp	doğrula+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bağlanırken	bağla+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
gönderilip	gönder+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
görüntülenirken	görüntüle+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
yüklenip	yükle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
artıp	art+Verb+Pos^DB+Adverb+AfterDoingSo
işlerken	işle+Verb+Pos+Aor^DB+Adverb+While
yuvarlanarak	yuvarla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
inceleyerek	incele+Verb+Pos^DB+Adverb+ByDoingSo
incelerken	incele+Verb+Pos+Aor^DB+Adverb+While
adlandırıp	ad+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
gösterilip	göster+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
duydukça	duy+Verb+Pos^DB+Adverb+AsLongAs
arttıkça	art+Verb+Pos^DB+Adverb+AsLongAs
sayarak	say+Verb+Pos^DB+Adverb+ByDoingSo
sonuçlandırarak	sonuç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
etkinleştirilip	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bulunup	bulun+Verb+Pos^DB+Adverb+AfterDoingSo
erişirken	eriş+Verb+Pos+Aor^DB+Adverb+While
edilip	et+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
sınırlayarak	sınırla+Verb+Pos^DB+Adverb+ByDoingSo
doldurarak	dol+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
parlatarak	parla+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
yürütürken	yürü+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
çalıştırarak	çalış+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
eklemedikçe	ekle+Verb+Neg^DB+Adverb+AsLongAs
kaldırmadıkça	kal+Verb^DB+Verb+Caus+Neg^DB+Adverb+AsLongAs
üstündeyken	üstün+Adj^DB+Noun+Zero+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
sağlarken	sağla+Verb+Pos+Aor^DB+Adverb+While
güncelleştirilip	güncel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
yapıştırılırken	yapış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
başlanarak	başla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
seçmeksizin	seç+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
biçimlendirilip	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
edinerek	edin+Verb+Pos^DB+Adverb+ByDoingSo
ayırarak	ayır+Verb+Pos^DB+Adverb+ByDoingSo
çözülüp	çöz+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
etkinleştirilmedikçe	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adverb+AsLongAs
belirlerken	belirle+Verb+Pos+Aor^DB+Adverb+While
kullanmadıkça	kullan+Verb+Neg^DB+Adverb+AsLongAs
yükleyip	yükle+Verb+Pos^DB+Adverb+AfterDoingSo
deneyip	dene+Verb+Pos^DB+Adverb+AfterDoingSo
oluşturuldukça	oluş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AsLongAs
bağlanarak	bağla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
destekleyip	destekle+Verb+Pos^DB+Adverb+AfterDoingSo
biçimlendirip	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
kaydederek	kaydet+Verb+Pos^DB+Adverb+ByDoingSo
modundayken	mod+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
götürerek	götür+Verb+Pos^DB+Adverb+ByDoingSo
yazarken	yazar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
kapatarak	kapa+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
alanındayken	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
sürükleyip	sürükle+Verb+Pos^DB+Adverb+AfterDoingSo
başlayıp	başla+Verb+Pos^DB+Adverb+AfterDoingSo
sıralayarak	sırala+Verb+Pos^DB+Adverb+ByDoingSo
alınırken	alın+Verb+Pos+Aor^DB+Adverb+While
çalıp	çal+Verb+Pos^DB+Adverb+AfterDoingSo
sıkıştırırken	sıkış+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
sıkıştırıp	sıkış+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
yayımlandıkça	yayımla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AsLongAs
bağlandıkça	bağla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AsLongAs
kopyalarken	kopyala+Verb+Pos+Aor^DB+Adverb+While
seçerken	seç+Verb+Pos+Aor^DB+Adverb+While
sürdürerek	sür+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
küçülterek	küçül+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
ayarlanarak	ayarla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
görüntüleyerek	görüntüle+Verb+Pos^DB+Adverb+ByDoingSo
taşırken	taşı+Verb+Pos+Aor^DB+Adverb+While
işaretleyip	işaretle+Verb+Pos^DB+Adverb+AfterDoingSo
gidilerek	git+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
değiştirilip	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
değerlendirilirken	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
nispeten	nispeten+Adverb
yedeklerken	yedekle+Verb+Pos+Aor^DB+Adverb+While
çözümleyerek	çözümle+Verb+Pos^DB+Adverb+ByDoingSo
vurgulayarak	vurgula+Verb+Pos^DB+Adverb+ByDoingSo
kalınlaştırarak	kalın+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
artırarak	art+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
ilişkilendirerek	ilişki+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
belirtmedikçe	belir+Verb^DB+Verb+Caus+Neg^DB+Adverb+AsLongAs
düzenlenerek	düzenle+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
hesaplanırken	hesapla+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
azaltıp	azal+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
zorlanarak	zorla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
kullanılıp	kullan+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
depolayarak	depola+Verb+Pos^DB+Adverb+ByDoingSo
oluşturulup	oluş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kurarak	kur+Verb+Pos^DB+Adverb+ByDoingSo
görüntüleyip	görüntüle+Verb+Pos^DB+Adverb+AfterDoingSo
ulaşıp	ulaş+Verb+Pos^DB+Adverb+AfterDoingSo
alınıp	alın+Verb+Pos^DB+Adverb+AfterDoingSo
biriktikçe	birik+Verb+Pos^DB+Adverb+AsLongAs
genişleterek	genişle+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
daraltarak	daral+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
kurarken	kur+Verb+Pos+Aor^DB+Adverb+While
temizlendikçe	temizle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AsLongAs
eklenmedikçe	ekle+Verb^DB+Verb+Pass+Neg^DB+Adverb+AsLongAs
gruplandırılarak	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
kesilmeden	kes+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
kaydedilip	kaydet+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kullanıp	kullan+Verb+Pos^DB+Adverb+AfterDoingSo
kaydolarak	kaydol+Verb+Pos^DB+Adverb+ByDoingSo
gerçekleştirip	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
koruyup	koru+Verb+Pos^DB+Adverb+AfterDoingSo
çıkışarak	çıkış+Verb+Pos^DB+Adverb+ByDoingSo
bembeyazken	bembeyaz+Adj^DB+Verb+Zero^DB+Adverb+While
kadarken	kadar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
gidecekken	git+Verb+Pos+Fut^DB+Adverb+While
sömürüp	sömür+Verb+Pos^DB+Adverb+AfterDoingSo
bulununca	bul+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
tıraşlayıp	tıraşla+Verb+Pos^DB+Adverb+AfterDoingSo
birleşince	birleş+Verb+Pos^DB+Adverb+When
düşerek	düş+Verb+Pos^DB+Adverb+ByDoingSo
kayarak	kay+Verb+Pos^DB+Adverb+ByDoingSo
göndererek	gönder+Verb+Pos^DB+Adverb+ByDoingSo
alamayınca	al+Verb^DB+Verb+Able+Neg^DB+Adverb+When
donarak	don+Verb+Pos^DB+Adverb+ByDoingSo
donup	don+Verb+Pos^DB+Adverb+AfterDoingSo
etkilenerek	etkile+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
takarak	tak+Verb+Pos^DB+Adverb+ByDoingSo
yakalanıp	yakala+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
tesadüfen	tesadüfen+Adverb
diyip	de+Verb+Pos^DB+Adverb+AfterDoingSo
kazandıkça	kazan+Verb+Pos^DB+Adverb+AsLongAs
verilmezken	ver+Verb^DB+Verb+Pass+Neg+Aor^DB+Adverb+While
azalırken	azal+Verb+Pos+Aor^DB+Adverb+While
kalmadıkça	kal+Verb+Neg^DB+Adverb+AsLongAs
uyarılarak	uyar+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
düzenlenince	düzenle+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
konuştukça	konuş+Verb+Pos^DB+Adverb+AsLongAs
yığılıp	yığ+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
düşünülerek	düşün+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
kanunen	kanunen+Adverb
uyuyunca	uyu+Verb+Pos^DB+Adverb+When
kalınabilirken	kal+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor^DB+Adverb+While
değişirken	değiş+Verb+Pos+Aor^DB+Adverb+While
savunarak	savun+Verb+Pos^DB+Adverb+ByDoingSo
parsellenip	parselle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
geçenlerde	geçenlerde+Adverb
kiralayarak	kirala+Verb+Pos^DB+Adverb+ByDoingSo
başlayınca	başla+Verb+Pos^DB+Adverb+When
hareketlendirirken	hareket+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
ortaklaşa	ortaklaşa+Adverb
güçlendirip	güç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
edemeyince	et+Verb^DB+Verb+Able+Neg^DB+Adverb+When
kapatılarak	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yapmazken	yap+Verb+Neg+Aor^DB+Adverb+While
uğraşırken	uğraş+Verb+Pos+Aor^DB+Adverb+While
aktarınca	aktar+Verb+Pos^DB+Adverb+When
yükleyerek	yükle+Verb+Pos^DB+Adverb+ByDoingSo
duyurunca	duy+Verb^DB+Verb+Caus+Pos^DB+Adverb+When
alelacele	alelacele+Adverb
dökünce	dök+Verb+Pos^DB+Adverb+When
vurularak	vur+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
bildirerek	bil+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
yıllarca	yıllarca+Adverb
usulen	usulen+Adverb
kullanınca	kullan+Verb+Pos^DB+Adverb+When
sorgulanırken	sorgula+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
esinlenerek	esinle+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
vurgularken	vurgula+Verb+Pos+Aor^DB+Adverb+While
anımsatırken	anımsa+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
karşılaştırınca	karşılaştır+Verb+Pos^DB+Adverb+When
tanıtıp	tanı+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
doluyken	dolu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
yorarken	yor+Verb+Pos+Aor^DB+Adverb+While
anımsatarak	anımsa+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
yaşayarak	yaşa+Verb+Pos^DB+Adverb+ByDoingSo
öngörüp	öngör+Verb+Pos^DB+Adverb+AfterDoingSo
sağlayarak	sağla+Verb+Pos^DB+Adverb+ByDoingSo
bulunarak	bulun+Verb+Pos^DB+Adverb+ByDoingSo
kazandırarak	kazan+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
gitmeyince	git+Verb+Neg^DB+Adverb+When
dikleşince	dik+Adj^DB+Verb+Become+Pos^DB+Adverb+When
değdikçe	değ+Verb+Pos^DB+Adverb+AsLongAs
arayıp	ara+Verb+Pos^DB+Adverb+AfterDoingSo
getirirken	getir+Verb+Pos+Aor^DB+Adverb+While
bertaraf	bertaraf+Adverb
