göre	gör+Verb+Pos+Opt+A3sg
bulsam	bul+Verb+Pos+Desr+A1sg
yumurtladı	yumurtla+Verb+Pos+Past+A3sg
girdim	gir+Verb+Pos+Past+A1sg
karşıladı	karşıla+Verb+Pos+Past+A3sg
salladım	salla+Verb+Pos+Past+A1sg
oturmam	otur+Verb+Neg+Aor+A1sg
oturdum	otur+Verb+Pos+Past+A1sg
yönelmiş	yönel+Verb+Pos+Narr+A3sg
yaşıyor	yaşa+Verb+Pos+Prog1+A3sg
hatırlar	hatırla+Verb+Pos+Aor+A3sg
düştünüz	düş+Verb+Pos+Past+A2pl
cevapladı	cevapla+Verb+Pos+Past+A3sg
bilirsiniz	bil+Verb+Pos+Aor+A2pl
görünmez	görün+Verb+Neg+Aor+A3sg
seslendik	seslen+Verb+Pos+Past+A1pl
görmedi	gör+Verb+Neg+Past+A3sg
durun	dur+Verb+Pos+Imp+A2pl
buldu	bul+Verb+Pos+Past+A3sg
bırakmış	bırak+Verb+Pos+Narr+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
konuşmuş	konuş+Verb+Pos+Narr+A3sg
işlemiş	işle+Verb+Pos+Narr+A3sg
bahsetti	bahset+Verb+Pos+Past+A3sg
girerim	gir+Verb+Pos+Aor+A1sg
çalıştım	çalış+Verb+Pos+Past+A1sg
uyandım	uyan+Verb+Pos+Past+A1sg
kilitledi	kilitle+Verb+Pos+Past+A3sg
ilgilenmedi	ilgilen+Verb+Neg+Past+A3sg
çevreliyor	çevrele+Verb+Pos+Prog1+A3sg
buldum	bul+Verb+Pos+Past+A1sg
girdik	gir+Verb+Pos+Past+A1pl
vermiş	ver+Verb+Pos+Narr+A3sg
yapışmış	yapış+Verb+Pos+Narr+A3sg
geldim	gel+Verb+Pos+Past+A1sg
izliyor	izle+Verb+Pos+Prog1+A3sg
şükretsin	şükret+Verb+Pos+Imp+A3sg
yoksundu	yoksun+Verb+Pos+Past+A3sg
sevmeliyiz	sev+Verb+Pos+Neces+A1pl
basa	bas+Verb+Pos+Opt+A3sg
konuştun	konuş+Verb+Pos+Past+A2sg
bilmedi	bil+Verb+Neg+Past+A3sg
düşer	düş+Verb+Pos+Aor+A3sg
yapın	yap+Verb+Pos+Imp+A2pl
aldım	al+Verb+Pos+Past+A1sg
ödedi	öde+Verb+Pos+Past+A3sg
kaplayacak	kapla+Verb+Pos+Fut+A3sg
böldü	böl+Verb+Pos+Past+A3sg
tuttum	tut+Verb+Pos+Past+A1sg
kırıyor	kır+Verb+Pos+Prog1+A3sg
düşünüyorsun	düşün+Verb+Pos+Prog1+A2sg
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
ağlamıyorsun	ağla+Verb+Neg+Prog1+A2sg
sersem	ser+Verb+Pos+Desr+A1sg
ağlamayacağım	ağla+Verb+Neg+Fut+A1sg
çıktık	çık+Verb+Pos+Past+A1pl
karşılaştık	karşılaş+Verb+Pos+Past+A1pl
verse	ver+Verb+Pos+Desr+A3sg
görünmeyecek	görün+Verb+Neg+Fut+A3sg
açıkladım	açıkla+Verb+Pos+Past+A1sg
ol	ol+Verb+Pos+Imp+A2sg
tanıdım	tanı+Verb+Pos+Past+A1sg
bekledim	bekle+Verb+Pos+Past+A1sg
dur	dur+Verb+Pos+Imp+A2sg
sanmıyorum	san+Verb+Neg+Prog1+A1sg
istemiyorsun	iste+Verb+Neg+Prog1+A2sg
bakacaklar	bak+Verb+Pos+Fut+A3pl
ölür	öl+Verb+Pos+Aor+A3sg
yatırırlar	yatır+Verb+Pos+Aor+A3pl
titredim	titre+Verb+Pos+Past+A1sg
dokunuyor	dokun+Verb+Pos+Prog1+A3sg
yürüdük	yürü+Verb+Pos+Past+A1pl
çağır	çağır+Verb+Pos+Imp+A2sg
seslendim	seslen+Verb+Pos+Past+A1sg
dürttü	dürt+Verb+Pos+Past+A3sg
zannedecekler	zannet+Verb+Pos+Fut+A3pl
utandım	utan+Verb+Pos+Past+A1sg
görünüyorsunuz	görün+Verb+Pos+Prog1+A2pl
görünmüyorum	görün+Verb+Neg+Prog1+A1sg
durmadı	dur+Verb+Neg+Past+A3sg
hissettim	hisset+Verb+Pos+Past+A1sg
daralıyor	daral+Verb+Pos+Prog1+A3sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
bağlamaz	bağla+Verb+Neg+Aor+A3sg
destekledi	destekle+Verb+Pos+Past+A3sg
yaşadı	yaşa+Verb+Pos+Past+A3sg
durduk	dur+Verb+Pos+Past+A1pl
kaynaşmaz	kaynaş+Verb+Neg+Aor+A3sg
gelmiyor	gel+Verb+Neg+Prog1+A3sg
sarkar	sark+Verb+Pos+Aor+A3sg
yattım	yat+Verb+Pos+Past+A1sg
şaşırmadım	şaşır+Verb+Neg+Past+A1sg
duymuşlar	duy+Verb+Pos+Narr+A3pl
sanmış	san+Verb+Pos+Narr+A3sg
duracak	dur+Verb+Pos+Fut+A3sg
duracaksın	dur+Verb+Pos+Fut+A2sg
hissedeceğim	hisset+Verb+Pos+Fut+A1sg
hissetse	hisset+Verb+Pos+Desr+A3sg
yarıştılar	yarış+Verb+Pos+Past+A3pl
başardı	başar+Verb+Pos+Past+A3sg
çürüdük	çürü+Verb+Pos+Past+A1pl
yapacaklar	yap+Verb+Pos+Fut+A3pl
sürdü	sür+Verb+Pos+Past+A3sg
başlayacağız	başla+Verb+Pos+Fut+A1pl
oynayın	oyna+Verb+Pos+Imp+A2pl
izleyeyim	izle+Verb+Pos+Opt+A1sg
oturduk	otur+Verb+Pos+Past+A1pl
indik	in+Verb+Pos+Past+A1pl
görmem	gör+Verb+Neg+Aor+A1sg
tırmanmam	tırman+Verb+Neg+Aor+A1sg
düşmüş	düş+Verb+Pos+Narr+A3sg
bulaşmış	bulaş+Verb+Pos+Narr+A3sg
çırptı	çırp+Verb+Pos+Past+A3sg
kaldırdı	kaldır+Verb+Pos+Past+A3sg
vurdu	vur+Verb+Pos+Past+A3sg
vuracaksın	vur+Verb+Pos+Fut+A2sg
sıçradı	sıçra+Verb+Pos+Past+A3sg
susamış	susa+Verb+Pos+Narr+A3sg
görünmese	görün+Verb+Neg+Desr+A3sg
giymiş	giy+Verb+Pos+Narr+A3sg
gösterir	göster+Verb+Pos+Aor+A3sg
morarmış	morar+Verb+Pos+Narr+A3sg
kazandın	kazan+Verb+Pos+Past+A2sg
olmasam	ol+Verb+Neg+Desr+A1sg
sildim	sil+Verb+Pos+Past+A1sg
çağırdı	çağır+Verb+Pos+Past+A3sg
öptüm	öp+Verb+Pos+Past+A1sg
atmadım	at+Verb+Neg+Past+A1sg
istemiş	iste+Verb+Pos+Narr+A3sg
dövecekler	döv+Verb+Pos+Fut+A3pl
görmesin	gör+Verb+Neg+Imp+A3sg
örttüm	ört+Verb+Pos+Past+A1sg
özetleyeceğim	özetle+Verb+Pos+Fut+A1sg
düşünür	düşün+Verb+Pos+Aor+A3sg
gösteriyor	göster+Verb+Pos+Prog1+A3sg
aşağılıyor	aşağıla+Verb+Pos+Prog1+A3sg
davranıyor	davran+Verb+Pos+Prog1+A3sg
çıksın	çık+Verb+Pos+Imp+A3sg
körükleyin	körükle+Verb+Pos+Imp+A2pl
yükselsin	yüksel+Verb+Pos+Imp+A3sg
gitmiş	git+Verb+Pos+Narr+A3sg
getirdik	getir+Verb+Pos+Past+A1pl
ellerim	elle+Verb+Pos+Aor+A1sg
kaldırır	kaldır+Verb+Pos+Aor+A3sg
kaldır	kaldır+Verb+Pos+Imp+A2sg
bulduk	bul+Verb+Pos+Past+A1pl
girmedi	gir+Verb+Neg+Past+A3sg
giderler	git+Verb+Pos+Aor+A3pl
sığmaz	sığ+Verb+Neg+Aor+A3sg
tutuyoruz	tut+Verb+Pos+Prog1+A1pl
tasarlamış	tasarla+Verb+Pos+Narr+A3sg
çağırıyor	çağır+Verb+Pos+Prog1+A3sg
dağıtıyor	dağıt+Verb+Pos+Prog1+A3sg
emretti	emret+Verb+Pos+Past+A3sg
getirdiler	getir+Verb+Pos+Past+A3pl
korkuyorsunuz	kork+Verb+Pos+Prog1+A2pl
yaklaştık	yaklaş+Verb+Pos+Past+A1pl
gördük	gör+Verb+Pos+Past+A1pl
duyduk	duy+Verb+Pos+Past+A1pl
gönderdiler	gönder+Verb+Pos+Past+A3pl
şaştı	şaş+Verb+Pos+Past+A3sg
yükseldi	yüksel+Verb+Pos+Past+A3sg
övdü	öv+Verb+Pos+Past+A3sg
eğdim	eğ+Verb+Pos+Past+A1sg
baktık	bak+Verb+Pos+Past+A1pl
döndük	dön+Verb+Pos+Past+A1pl
değildim	değil+Verb+Neg+Past+A1sg
okudum	oku+Verb+Pos+Past+A1sg
bulunmuş	bulun+Verb+Pos+Narr+A3sg
inmedim	in+Verb+Neg+Past+A1sg
edeyim	et+Verb+Pos+Opt+A1sg
aştım	aş+Verb+Pos+Past+A1sg
aşıyor	aş+Verb+Pos+Prog1+A3sg
aydınlanmış	aydınlan+Verb+Pos+Narr+A3sg
oynamış	oyna+Verb+Pos+Narr+A3sg
güldük	gül+Verb+Pos+Past+A1pl
sapmış	sap+Verb+Pos+Narr+A3sg
uğramış	uğra+Verb+Pos+Narr+A3sg
derler	de+Verb+Pos+Aor+A3pl
kullanırlar	kullan+Verb+Pos+Aor+A3pl
karşılaşır	karşılaş+Verb+Pos+Aor+A3sg
rastlar	rastla+Verb+Pos+Aor+A3sg
öldü	öl+Verb+Pos+Past+A3sg
taşındılar	taşın+Verb+Pos+Past+A3pl
etkiliyor	etkile+Verb+Pos+Prog1+A3sg
yerleşti	yerleş+Verb+Pos+Past+A3sg
tanıştı	tanış+Verb+Pos+Past+A3sg
benimsedi	benimse+Verb+Pos+Past+A3sg
bağışladı	bağışla+Verb+Pos+Past+A3sg
topladı	topla+Verb+Pos+Past+A3sg
bırakıyor	bırak+Verb+Pos+Prog1+A3sg
birleşti	birleş+Verb+Pos+Past+A3sg
korudu	koru+Verb+Pos+Past+A3sg
saklamadı	sakla+Verb+Neg+Past+A3sg
izledi	izle+Verb+Pos+Past+A3sg
sergilemese	sergile+Verb+Neg+Desr+A3sg
yayımladı	yayımla+Verb+Pos+Past+A3sg
kazandı	kazan+Verb+Pos+Past+A3sg
tanımlamış	tanımla+Verb+Pos+Narr+A3sg
benimsemedi	benimse+Verb+Neg+Past+A3sg
izler	izle+Verb+Pos+Aor+A3sg
kullanmış	kullan+Verb+Pos+Narr+A3sg
tanımlama	tanımla+Verb+Neg+Imp+A2sg
yaladı	yala+Verb+Pos+Past+A3sg
emiyor	em+Verb+Pos+Prog1+A3sg
giyer	giy+Verb+Pos+Aor+A3sg
birikmiş	birik+Verb+Pos+Narr+A3sg
sızar	sız+Verb+Pos+Aor+A3sg
batmış	bat+Verb+Pos+Narr+A3sg
övünür	övün+Verb+Pos+Aor+A3sg
uyanır	uyan+Verb+Pos+Aor+A3sg
içmişler	iç+Verb+Pos+Narr+A3pl
çarpmaz	çarp+Verb+Neg+Aor+A3sg
kaybolur	kaybol+Verb+Pos+Aor+A3sg
korkar	kork+Verb+Pos+Aor+A3sg
sezer	sez+Verb+Pos+Aor+A3sg
sezmez	sez+Verb+Neg+Aor+A3sg
tanımlar	tanımla+Verb+Pos+Aor+A3sg
dedin	de+Verb+Pos+Past+A2sg
büyüyor	büyü+Verb+Pos+Prog1+A3sg
istemeyeceksin	iste+Verb+Neg+Fut+A2sg
tutacağım	tut+Verb+Pos+Fut+A1sg
tutmadı	tut+Verb+Neg+Past+A3sg
dövmez	döv+Verb+Neg+Aor+A3sg
kaldırmasa	kaldır+Verb+Neg+Desr+A3sg
çaldı	çal+Verb+Pos+Past+A3sg
defol	defol+Verb+Pos+Imp+A2sg
yalvardı	yalvar+Verb+Pos+Past+A3sg
bulursun	bul+Verb+Pos+Aor+A2sg
götürdüler	götür+Verb+Pos+Past+A3pl
ağladı	ağla+Verb+Pos+Past+A3sg
ölmedi	öl+Verb+Neg+Past+A3sg
çatladı	çatla+Verb+Pos+Past+A3sg
dönmedi	dön+Verb+Neg+Past+A3sg
kokladı	kokla+Verb+Pos+Past+A3sg
buldular	bul+Verb+Pos+Past+A3pl
içeceğim	iç+Verb+Pos+Fut+A1sg
sıkıyor	sık+Verb+Pos+Prog1+A3sg
dönüyor	dön+Verb+Pos+Prog1+A3sg
olmuyor	ol+Verb+Neg+Prog1+A3sg
besleyeceksin	besle+Verb+Pos+Fut+A2sg
içti	iç+Verb+Pos+Past+A3sg
çektim	çek+Verb+Pos+Past+A1sg
kaldırmış	kaldır+Verb+Pos+Narr+A3sg
getireyim	getir+Verb+Pos+Opt+A1sg
eğlendin	eğlen+Verb+Pos+Past+A2sg
gitsem	git+Verb+Pos+Desr+A1sg
alsam	al+Verb+Pos+Desr+A1sg
almamış	al+Verb+Neg+Narr+A3sg
inanıyor	inan+Verb+Pos+Prog1+A3sg
oldular	ol+Verb+Pos+Past+A3pl
ayırır	ayır+Verb+Pos+Aor+A3sg
bulmuyorum	bul+Verb+Neg+Prog1+A1sg
sustu	sus+Verb+Pos+Past+A3sg
konuşurlar	konuş+Verb+Pos+Aor+A3pl
yıkar	yık+Verb+Pos+Aor+A3sg
süpürüyor	süpür+Verb+Pos+Prog1+A3sg
astı	as+Verb+Pos+Past+A3sg
inanıyorsun	inan+Verb+Pos+Prog1+A2sg
gitmiyorsun	git+Verb+Neg+Prog1+A2sg
çekinir	çekin+Verb+Pos+Aor+A3sg
zorluyor	zorla+Verb+Pos+Prog1+A3sg
sevişiyor	seviş+Verb+Pos+Prog1+A3sg
okuyorum	oku+Verb+Pos+Prog1+A1sg
yasaklamış	yasakla+Verb+Pos+Narr+A3sg
okuyorlar	oku+Verb+Pos+Prog1+A3pl
bahsediyor	bahset+Verb+Pos+Prog1+A3sg
olsalar	ol+Verb+Pos+Desr+A3pl
hapsediyorlar	hapset+Verb+Pos+Prog1+A3pl
okuyorsun	oku+Verb+Pos+Prog1+A2sg
değmez	değ+Verb+Neg+Aor+A3sg
yaşadın	yaşa+Verb+Pos+Past+A2sg
döver	döv+Verb+Pos+Aor+A3sg
yaşamadı	yaşa+Verb+Neg+Past+A3sg
sorsan	sor+Verb+Pos+Desr+A2sg
küçüldüler	küçül+Verb+Pos+Past+A3pl
dayamış	daya+Verb+Pos+Narr+A3sg
aldın	al+Verb+Pos+Past+A2sg
uyanıyor	uyan+Verb+Pos+Prog1+A3sg
solmuş	sol+Verb+Pos+Narr+A3sg
sözetti	sözet+Verb+Pos+Past+A3sg
açıklayacak	açıkla+Verb+Pos+Fut+A3sg
büyülüyor	büyüle+Verb+Pos+Prog1+A3sg
istiyorsun	iste+Verb+Pos+Prog1+A2sg
öğrenmeli	öğren+Verb+Pos+Neces+A3sg
bilmeli	bil+Verb+Pos+Neces+A3sg
anlatmalıyız	anlat+Verb+Pos+Neces+A1pl
mahvolursun	mahvol+Verb+Pos+Aor+A2sg
artmış	art+Verb+Pos+Narr+A3sg
uyu	uyu+Verb+Pos+Imp+A2sg
yatacağım	yat+Verb+Pos+Fut+A1sg
anladın	anla+Verb+Pos+Past+A2sg
mahvolacaksın	mahvol+Verb+Pos+Fut+A2sg
öğrendin	öğren+Verb+Pos+Past+A2sg
zayıflıyorsun	zayıfla+Verb+Pos+Prog1+A2sg
ürker	ürk+Verb+Pos+Aor+A3sg
bağlarlar	bağla+Verb+Pos+Aor+A3pl
doğar	doğ+Verb+Pos+Aor+A3sg
ulaşır	ulaş+Verb+Pos+Aor+A3sg
vazgeçmiş	vazgeç+Verb+Pos+Narr+A3sg
edindim	edin+Verb+Pos+Past+A1sg
ölmüş	öl+Verb+Pos+Narr+A3sg
yalvardım	yalvar+Verb+Pos+Past+A1sg
yapmayın	yap+Verb+Neg+Imp+A2pl
yaşıyorsun	yaşa+Verb+Pos+Prog1+A2sg
göster	göster+Verb+Pos+Imp+A2sg
getirdim	getir+Verb+Pos+Past+A1sg
tutundum	tutun+Verb+Pos+Past+A1sg
vermedim	ver+Verb+Neg+Past+A1sg
belirleyecek	belirle+Verb+Pos+Fut+A3sg
hissetmem	hisset+Verb+Neg+Aor+A1sg
getireceksin	getir+Verb+Pos+Fut+A2sg
sökerim	sök+Verb+Pos+Aor+A1sg
yapıştım	yapış+Verb+Pos+Past+A1sg
getiriyorsun	getir+Verb+Pos+Prog1+A2sg
olsunlar	ol+Verb+Pos+Imp+A3pl
açar	aç+Verb+Pos+Aor+A3sg
vermesin	ver+Verb+Neg+Imp+A3sg
diyorsun	de+Verb+Pos+Prog1+A2sg
çarpsın	çarp+Verb+Pos+Imp+A3sg
dön	dön+Verb+Pos+Imp+A2sg
uyuşmuş	uyuş+Verb+Pos+Narr+A3sg
çevirdim	çevir+Verb+Pos+Past+A1sg
yağladım	yağla+Verb+Pos+Past+A1sg
bakındım	bakın+Verb+Pos+Past+A1sg
koştum	koş+Verb+Pos+Past+A1sg
büyütmüş	büyüt+Verb+Pos+Narr+A3sg
derdim	der+Verb+Pos+Past+A1sg
kaptı	kap+Verb+Pos+Past+A3sg
uydum	uy+Verb+Pos+Past+A1sg
keşfetti	keşfet+Verb+Pos+Past+A3sg
kullandı	kullan+Verb+Pos+Past+A3sg
çevreledi	çevrele+Verb+Pos+Past+A3sg
büyüttü	büyüt+Verb+Pos+Past+A3sg
büyüttün	büyüt+Verb+Pos+Past+A2sg
yiyecekler	ye+Verb+Pos+Fut+A3pl
boylayacağım	boyla+Verb+Pos+Fut+A1sg
kalacaksınız	kal+Verb+Pos+Fut+A2pl
temizler	temizle+Verb+Pos+Aor+A3sg
böler	böl+Verb+Pos+Aor+A3sg
olsam	ol+Verb+Pos+Desr+A1sg
ayırmam	ayır+Verb+Neg+Aor+A1sg
koydum	koy+Verb+Pos+Past+A1sg
yuttu	yut+Verb+Pos+Past+A3sg
kaçmadı	kaç+Verb+Neg+Past+A3sg
söylersin	söyle+Verb+Pos+Aor+A2sg
varmışız	var+Verb+Pos+Narr+A1pl
yutuyor	yut+Verb+Pos+Prog1+A3sg
ölmedin	öl+Verb+Neg+Past+A2sg
içiyorsun	iç+Verb+Pos+Prog1+A2sg
kurtuldu	kurtul+Verb+Pos+Past+A3sg
düşünmedim	düşün+Verb+Neg+Past+A1sg
getirmem	getir+Verb+Neg+Aor+A1sg
çıldıracak	çıldır+Verb+Pos+Fut+A3sg
kalktım	kalk+Verb+Pos+Past+A1sg
anlamadım	anla+Verb+Neg+Past+A1sg
atıyorlar	ata+Verb+Pos+Prog1+A3pl
anlamadı	anla+Verb+Neg+Past+A3sg
öksürdü	öksür+Verb+Pos+Past+A3sg
sorsun	sor+Verb+Pos+Imp+A3sg
konuyor	kon+Verb+Pos+Prog1+A3sg
büyütmedim	büyüt+Verb+Neg+Past+A1sg
konuyorlar	kon+Verb+Pos+Prog1+A3pl
işliyorlar	işle+Verb+Pos+Prog1+A3pl
yapıyorlar	yap+Verb+Pos+Prog1+A3pl
kapayayım	kapa+Verb+Pos+Opt+A1sg
soymam	soy+Verb+Neg+Aor+A1sg
sürtmem	sürt+Verb+Neg+Aor+A1sg
indim	in+Verb+Pos+Past+A1sg
anlayacak	anla+Verb+Pos+Fut+A3sg
sardım	sar+Verb+Pos+Past+A1sg
kıymalı	kıy+Verb+Pos+Neces+A3sg
çaldım	çal+Verb+Pos+Past+A1sg
açtım	aç+Verb+Pos+Past+A1sg
gideyim	git+Verb+Pos+Opt+A1sg
kaykılmış	kaykıl+Verb+Pos+Narr+A3sg
küfretti	küfret+Verb+Pos+Past+A3sg
ıskaladı	ıskala+Verb+Pos+Past+A3sg
tökezledi	tökezle+Verb+Pos+Past+A3sg
kaybettim	kaybet+Verb+Pos+Past+A1sg
olmuşsunuz	ol+Verb+Pos+Narr+A2pl
yatıyorsunuz	yat+Verb+Pos+Prog1+A2pl
söylemiyorsun	söyle+Verb+Neg+Prog1+A2sg
getirmedin	getir+Verb+Neg+Past+A2sg
takmadın	tak+Verb+Neg+Past+A2sg
hissettiler	hisset+Verb+Pos+Past+A3pl
gördüler	gör+Verb+Pos+Past+A3pl
çekecek	çek+Verb+Pos+Fut+A3sg
bahsediyorsunuz	bahset+Verb+Pos+Prog1+A2pl
bahsediyoruz	bahset+Verb+Pos+Prog1+A1pl
konuşun	konuş+Verb+Pos+Imp+A2pl
tembihleyeceğim	tembihle+Verb+Pos+Fut+A1sg
çalıyor	çal+Verb+Pos+Prog1+A3sg
utandı	utan+Verb+Pos+Past+A3sg
artar	art+Verb+Pos+Aor+A3sg
söylemeyeceğim	söyle+Verb+Neg+Fut+A1sg
bulunmaktayım	bulun+Verb+Pos+Prog2+A1sg
öğretiyor	öğret+Verb+Pos+Prog1+A3sg
korkmuyorum	kork+Verb+Neg+Prog1+A1sg
dinleyeceksiniz	dinle+Verb+Pos+Fut+A2pl
bekliyor	bekle+Verb+Pos+Prog1+A3sg
soralım	sor+Verb+Pos+Opt+A1pl
etmiyorlar	et+Verb+Neg+Prog1+A3pl
değiller	değille+Verb+Pos+Aor+A3sg
girmiyorum	gir+Verb+Neg+Prog1+A1sg
yapmalı	yap+Verb+Pos+Neces+A3sg
başladınız	başla+Verb+Pos+Past+A2pl
ödeyeceğim	öde+Verb+Pos+Fut+A1sg
dokunur	dokun+Verb+Pos+Aor+A3sg
buluyor	bula+Verb+Pos+Prog1+A3sg
tanımadı	tanı+Verb+Neg+Past+A3sg
sevdi	sev+Verb+Pos+Past+A3sg
yaratır	yarat+Verb+Pos+Aor+A3sg
vuracak	vur+Verb+Pos+Fut+A3sg
şaşırır	şaşır+Verb+Pos+Aor+A3sg
git	git+Verb+Pos+Imp+A2sg
danışır	danış+Verb+Pos+Aor+A3sg
söylüyorlar	söyle+Verb+Pos+Prog1+A3pl
koşarlar	koş+Verb+Pos+Aor+A3pl
harcamış	harca+Verb+Pos+Narr+A3sg
bırakacak	bırak+Verb+Pos+Fut+A3sg
yaparsınız	yap+Verb+Pos+Aor+A2pl
uğradım	uğra+Verb+Pos+Past+A1sg
arıyorum	ara+Verb+Pos+Prog1+A1sg
etmedik	et+Verb+Neg+Past+A1pl
yararım	yar+Verb+Pos+Aor+A1sg
örmediniz	ör+Verb+Neg+Past+A2pl
kes	kes+Verb+Pos+Imp+A2sg
veresin	ver+Verb+Pos+Opt+A2sg
ödediniz	öde+Verb+Pos+Past+A2pl
kurtardınız	kurtar+Verb+Pos+Past+A2pl
hazırlıyorum	hazırla+Verb+Pos+Prog1+A1sg
yakıyor	yak+Verb+Pos+Prog1+A3sg
öder	öde+Verb+Pos+Aor+A3sg
yapsın	yap+Verb+Pos+Imp+A3sg
görürsün	gör+Verb+Pos+Aor+A2sg
tutuşacaksınız	tutuş+Verb+Pos+Fut+A2pl
alırsınız	al+Verb+Pos+Aor+A2pl
attım	at+Verb+Pos+Past+A1sg
emredersiniz	emret+Verb+Pos+Aor+A2pl
uğrar	uğra+Verb+Pos+Aor+A3sg
çıkarsınız	çık+Verb+Pos+Aor+A2pl
yersiniz	ye+Verb+Pos+Aor+A2pl
götürür	götür+Verb+Pos+Aor+A3sg
oturursunuz	otur+Verb+Pos+Aor+A2pl
verirsin	ver+Verb+Pos+Aor+A2sg
güveniyorum	güven+Verb+Pos+Prog1+A1sg
zannetmeyin	zannet+Verb+Neg+Imp+A2pl
sanıyor	san+Verb+Pos+Prog1+A3sg
soktular	sok+Verb+Pos+Past+A3pl
demezler	de+Verb+Neg+Aor+A3pl
veririm	ver+Verb+Pos+Aor+A1sg
başlayalım	başla+Verb+Pos+Opt+A1pl
davranmışım	davran+Verb+Pos+Narr+A1sg
koştu	koş+Verb+Pos+Past+A3sg
soktu	sok+Verb+Pos+Past+A3sg
bırak	bırak+Verb+Pos+Imp+A2sg
korka	kork+Verb+Pos+Opt+A3sg
uzadı	uza+Verb+Pos+Past+A3sg
sarktı	sark+Verb+Pos+Past+A3sg
kullandılar	kullan+Verb+Pos+Past+A3pl
erimiş	eri+Verb+Pos+Narr+A3sg
yükselecek	yüksel+Verb+Pos+Fut+A3sg
dönecek	dön+Verb+Pos+Fut+A3sg
bayıldı	bayıl+Verb+Pos+Past+A3sg
demez	de+Verb+Neg+Aor+A3sg
vursalar	vur+Verb+Pos+Desr+A3pl
yemem	ye+Verb+Neg+Aor+A1sg
seviyorsunuz	sev+Verb+Pos+Prog1+A2pl
bekledi	bekle+Verb+Pos+Past+A3sg
unutmazlar	unut+Verb+Neg+Aor+A3pl
yapmadı	yap+Verb+Neg+Past+A3sg
bayılmadı	bayıl+Verb+Neg+Past+A3sg
yazdı	yaz+Verb+Pos+Past+A3sg
sattı	sat+Verb+Pos+Past+A3sg
ezberledim	ezberle+Verb+Pos+Past+A1sg
hazırlayın	hazırla+Verb+Pos+Imp+A2pl
doymasın	doy+Verb+Neg+Imp+A3sg
öpün	öp+Verb+Pos+Imp+A2pl
çökmüş	çök+Verb+Pos+Narr+A3sg
okumuş	oku+Verb+Pos+Narr+A3sg
eğlenelim	eğlen+Verb+Pos+Opt+A1pl
işitmiş	işit+Verb+Pos+Narr+A3sg
afalladı	afalla+Verb+Pos+Past+A3sg
bakma	bak+Verb+Neg+Imp+A2sg
bekliyorum	bekle+Verb+Pos+Prog1+A1sg
yak	yak+Verb+Pos+Imp+A2sg
güleceğiz	gül+Verb+Pos+Fut+A1pl
sıktım	sık+Verb+Pos+Past+A1sg
duymuyor	duy+Verb+Neg+Prog1+A3sg
seviniyorum	sevin+Verb+Pos+Prog1+A1sg
oldunuz	ol+Verb+Pos+Past+A2pl
söyleseniz	söyle+Verb+Pos+Desr+A2pl
kalmasınlar	kal+Verb+Neg+Imp+A3pl
yakışıyor	yakış+Verb+Pos+Prog1+A3sg
götürürler	götür+Verb+Pos+Aor+A3pl
sevinirim	sevin+Verb+Pos+Aor+A1sg
hoşlanmam	hoşlan+Verb+Neg+Aor+A1sg
tüketecek	tüket+Verb+Pos+Fut+A3sg
yetiyor	yet+Verb+Pos+Prog1+A3sg
göndermedi	gönder+Verb+Neg+Past+A3sg
yaradı	yara+Verb+Pos+Past+A3sg
göstermedi	göster+Verb+Neg+Past+A3sg
gösterirler	göster+Verb+Pos+Aor+A3pl
sanırsınız	san+Verb+Pos+Aor+A2pl
edeceğiz	et+Verb+Pos+Fut+A1pl
kirletmeyecek	kirlet+Verb+Neg+Fut+A3sg
davrandın	davran+Verb+Pos+Past+A2sg
kovmayacağım	kov+Verb+Neg+Fut+A1sg
anlamam	anla+Verb+Neg+Aor+A1sg
beklemeyin	bekle+Verb+Neg+Imp+A2pl
değiliz	değil+Verb+Neg+Pres+A1pl
götürmüş	götür+Verb+Pos+Narr+A3sg
gösterdim	göster+Verb+Pos+Past+A1sg
istemedim	iste+Verb+Neg+Past+A1sg
gitmedi	git+Verb+Neg+Past+A3sg
gördünüz	gör+Verb+Pos+Past+A2pl
iletti	ilet+Verb+Pos+Past+A3sg
ödeyeyim	öde+Verb+Pos+Opt+A1sg
verirsiniz	ver+Verb+Pos+Aor+A2pl
katladı	katla+Verb+Pos+Past+A3sg
düzeldi	düzel+Verb+Pos+Past+A3sg
afalladım	afalla+Verb+Pos+Past+A1sg
diktim	dik+Verb+Pos+Past+A1sg
buldun	bul+Verb+Pos+Past+A2sg
yazdım	yaz+Verb+Pos+Past+A1sg
bilsem	bil+Verb+Pos+Desr+A1sg
dayadı	daya+Verb+Pos+Past+A3sg
kazansam	kazan+Verb+Pos+Desr+A1sg
kalmasın	kal+Verb+Neg+Imp+A3sg
öğren	öğren+Verb+Pos+Imp+A2sg
unutacağım	unut+Verb+Pos+Fut+A1sg
bakıyorum	bak+Verb+Pos+Prog1+A1sg
geçersin	geç+Verb+Pos+Aor+A2sg
bayılıyor	bayıl+Verb+Pos+Prog1+A3sg
görünüyorlar	görün+Verb+Pos+Prog1+A3pl
duyarım	duy+Verb+Pos+Aor+A1sg
