rahatladığınız	rahatla+Verb+Pos^DB+Adj+PastPart+P2pl
kopyalanan	kopyala+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
barındırdığı	barın+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
önizlediğim	önizle+Verb+Pos^DB+Adj+PastPart+P1sg
yedeklediğiniz	yedekle+Verb+Pos^DB+Adj+PastPart+P2pl
sekmeli	sek+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
sınamadığınız	sın+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
kapsayacak	kapsa+Verb+Pos^DB+Adj+FutPart+Pnon
bileşenlerindeki	bileş+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3pl+P3sg+Loc^DB+Adj+Rel
sınırlayan	sınırla+Verb+Pos^DB+Adj+PresPart
eşitlendiği	eşitle+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
yönlendirildiği	yönlen+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
simgeleyecek	simgele+Verb+Pos^DB+Adj+FutPart+Pnon
sıralandığı	sırala+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
dengeleyen	dengele+Verb+Pos^DB+Adj+PresPart
grupladığınız	grupla+Verb+Pos^DB+Adj+PastPart+P2pl
rendelenmiş	rendele+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
başgösteren	başgöster+Verb+Pos^DB+Adj+PresPart
yeralan	yeral+Verb+Pos^DB+Adj+PresPart
devredilen	devret+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
fakslanan	faksla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
addetmeyen	addet+Verb+Neg^DB+Adj+PresPart
göğüsleyen	göğüsle+Verb+Pos^DB+Adj+PresPart
sollayan	solla+Verb+Pos^DB+Adj+PresPart
konakladığınız	konakla+Verb+Pos^DB+Adj+PastPart+P2pl
sahiplenen	sahiplen+Verb+Pos^DB+Adj+PresPart
amaçlayan	amaçla+Verb+Pos^DB+Adj+PresPart
yenilediği	yenile+Verb+Pos^DB+Adj+PastPart+P3sg
nitelediği	nitele+Verb+Pos^DB+Adj+PastPart+P3sg
öngördüğü	öngör+Verb+Pos^DB+Adj+PastPart+P3sg
duyuran	duyur+Verb+Pos^DB+Adj+PresPart
çimdikleyen	çimdikle+Verb+Pos^DB+Adj+PresPart
eğiren	eğir+Verb+Pos^DB+Adj+PresPart
yazıştığım	yazış+Verb+Pos^DB+Adj+PastPart+P1sg
tokatlayan	tokatla+Verb+Pos^DB+Adj+PresPart
çağrıştırdığı	çağrış+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
güreşen	güreş+Verb+Pos^DB+Adj+PresPart
gözlemleyen	gözlemle+Verb+Pos^DB+Adj+PresPart
yanıtlayan	yanıtla+Verb+Pos^DB+Adj+PresPart
sevkettiği	sevket+Verb+Pos^DB+Adj+PastPart+P3sg
haczedilen	haczet+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
kıskandıracak	kıskan+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
harmanladığımız	harmanla+Verb+Pos^DB+Adj+PastPart+P1pl
sıkılan	sıkıl+Verb+Pos^DB+Adj+PresPart
yıprattıkları	yıprat+Verb+Pos^DB+Adj+PastPart+P3pl
yeşerdiği	yeşer+Verb+Pos^DB+Adj+PastPart+P3sg
çoğalan	çoğal+Verb+Pos^DB+Adj+PresPart
cezbeden	cezbet+Verb+Pos^DB+Adj+PresPart
ertelenen	ertele+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sığınmayan	sığın+Verb+Neg^DB+Adj+PresPart
frenler	frenle+Verb+Pos^DB+Adj+AorPart
