değil	değil+Verb+Neg+Pres+A3sg
hatırlayamadı	hatırla+Verb^DB+Verb+Able+Neg+Past+A3sg
hazırlanmam	hazırla+Verb^DB+Verb+Pass+Neg+Aor+A1sg
çakılmasın	çak+Verb^DB+Verb+Pass+Neg+Imp+A3sg
yapamayacakları	yap+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3pl+Nom
başlamayın	başla+Verb+Neg+Imp+A2pl
tanımadılar	tanı+Verb+Neg+Past+A3pl
uyanmayanlar	uyan+Verb+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Nom
tanışmazlarmış	tanış+Verb+Neg+Aor+A3pl+Narr
olamamış	ol+Verb^DB+Verb+Able+Neg+Narr+A3sg
geçirmedi	geç+Verb^DB+Verb+Caus+Neg+Past+A3sg
gerçekleştiremeyecekti	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Able+Neg+Fut+Past+A3sg
edinilemedi	edin+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
bilemiyordu	bil+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
veremedi	ver+Verb^DB+Verb+Able+Neg+Past+A3sg
kaldırılamadı	kal+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
beklenmeyecek	bekle+Verb^DB+Verb+Pass+Neg^DB+Adj+FutPart+Pnon
tamamlanamamıştı	tamamla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Narr+Past+A3sg
gerçekleştirememesine	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
olmamasından	ol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Abl
olunamamasından	ol+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Abl
artmayabilir	art+Verb+Neg^DB+Verb+Able+Aor+A3sg
artmamasında	art+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Loc
artmadığı	art+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
çeviremedim	çevir+Verb^DB+Verb+Able+Neg+Past+A1sg
uğramayacağını	uğra+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
bakamadığım	bak+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P1sg
bitirememişlerdi	bit+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Narr+A3pl+Past
koyamadılar	koy+Verb^DB+Verb+Able+Neg+Past+A3pl
okunamayan	oku+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
alamıyoruz	al+Verb^DB+Verb+Able+Neg+Prog1+A1pl
doğmaz	doğ+Verb+Neg+Aor+A3sg
tutulmayan	tut+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
çiftleştirmiyorlar	çiftleş+Verb^DB+Verb+Caus+Neg+Prog1+A3pl
ısmarlanmayan	ısmarla+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
çıkmadığını	çık+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
alınmıyor	al+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
tanınmıyor	tanı+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
anlayamazdım	anla+Verb^DB+Verb+Able+Neg+Aor+Past+A1sg
yenemeyenler	ye+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Nom
yenmeyen	ye+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
gelişmemiş	geliş+Verb+Neg+Narr+A3sg
yapışmaz	yapış+Verb+Neg+Aor+A3sg
çekmedi	çek+Verb+Neg+Past+A3sg
tartışmadı	tartış+Verb+Neg+Past+A3sg
gelmiyordum	gel+Verb+Neg+Prog1+Past+A1sg
getirememiştim	getir+Verb^DB+Verb+Able+Neg+Narr+Past+A1sg
anlatmadığımı	anlat+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
anımsamıyorum	anımsa+Verb+Neg+Prog1+A1sg
beslememeye	besle+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Dat
oynatmıyorlardı	oyna+Verb^DB+Verb+Caus+Neg+Prog1+A3pl+Past
atamadığımı	at+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
içmediğimiz	iç+Verb+Neg^DB+Adj+PastPart+P1pl
şaşırmadık	şaşır+Verb+Neg+Past+A1pl
aratmayan	ara+Verb^DB+Verb+Caus+Neg^DB+Adj+PresPart
vazgeçmiyoruz	vazgeç+Verb+Neg+Prog1+A1pl
engellemiyor	engelle+Verb+Neg+Prog1+A3sg
uzatmasa	uza+Verb^DB+Verb+Caus+Neg+Desr+A3sg
istememiştim	iste+Verb+Neg+Narr+Past+A1sg
etmese	et+Verb+Neg+Desr+A3sg
getirilmez	getir+Verb^DB+Verb+Pass+Neg+Aor+A3sg
bakamamaktan	bak+Verb^DB+Verb+Able+Neg^DB+Noun+Inf1+A3sg+Pnon+Abl
koruyamamaktan	koru+Verb^DB+Verb+Able+Neg^DB+Noun+Inf1+A3sg+Pnon+Abl
önemsemedi	önemse+Verb+Neg+Past+A3sg
olamadığını	ol+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
getirilemeyişi	getir+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf3+A3sg+P3sg+Nom
açılamayan	aç+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
kırmamak	kır+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
yapamadık	yap+Verb^DB+Verb+Able+Neg+Past+A1pl
gidemeyen	git+Verb^DB+Verb+Able+Neg^DB+Adj+PresPart
alınmayacağı	al+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
bilmiyorduk	bil+Verb+Neg+Prog1+Past+A1pl
takılmadılar	tak+Verb^DB+Verb+Pass+Neg+Past+A3pl
rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
yapan	yap+Verb+Pos^DB+Adj+PresPart
kullanabileceği	kullan+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+P3sg
erime	eri+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
gözlendi	gözle+Verb^DB+Verb+Pass+Pos+Past+A3sg
yüklenen	yükle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
düzeltti	düzel+Verb^DB+Verb+Caus+Pos+Past+A3sg
kapatan	kapa+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
çıkardı	çık+Verb^DB+Verb+Caus+Pos+Past+A3sg
olan	ol+Verb+Pos^DB+Adj+PresPart
azalışla	azal+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
açılan	aç+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
gerilemesi	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
çekilen	çek+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
azalışı	azal+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
gerileme	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
artışla	art+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
çıktı	çık+Verb+Pos+Past+A3sg
ise	i+Verb+Pos+Cond+A3sg
rahatlarken	rahatla+Verb+Pos+Aor^DB+Adverb+While
azalarak	azal+Verb+Pos^DB+Adverb+ByDoingSo
ödendi	öde+Verb^DB+Verb+Pass+Pos+Past+A3sg
olarak	ol+Verb+Pos^DB+Adverb+ByDoingSo
gerçekleşti	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Past+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
gerçekleştirilen	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
olmuştu	ol+Verb+Pos+Narr+Past+A3sg
akmasını	ak+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
sağlayan	sağla+Verb+Pos^DB+Adj+PresPart
uygulanması	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
beklenenin	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
artmasına	art+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
olurken	ol+Verb+Pos+Aor^DB+Adverb+While
satış	sat+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
belirlendiği	belirle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
imzaladığı	imzala+Verb+Pos^DB+Adj+PastPart+P3sg
ediliyor	et+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
veren	ver+Verb+Pos^DB+Adj+PresPart
satmasına	sat+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
veriyor	ver+Verb+Pos+Prog1+A3sg
tanınan	tanı+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
dolduracak	dol+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
imzalayan	imzala+Verb+Pos^DB+Adj+PresPart
çıkacak	çık+Verb+Pos^DB+Adj+FutPart+Pnon
karşılaşacağı	karşılaş+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
arttırılmasını	art+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
isteyeceği	iste+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
belirtiliyor	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
olmak	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
doluncaya	dol+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
bildirdiler	bil+Verb^DB+Verb+Caus+Pos+Past+A3pl
bulunduğu	bulun+Verb+Pos^DB+Adj+PastPart+P3sg
tanıdığı	tanı+Verb+Pos^DB+Adj+PastPart+P3sg
kalabilmek	kal+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
azalttığını	azal+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
bildirdi	bil+Verb^DB+Verb+Caus+Pos+Past+A3sg
açıklama	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
beklenenden	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Abl
akacağı	ak+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
verince	ver+Verb+Pos^DB+Adverb+When
yükseltici	yüksel+Verb^DB+Verb+Caus+Pos^DB+Adj+Agt
yaptı	yap+Verb+Pos+Past+A3sg
arttığı	art+Verb+Pos^DB+Adj+PastPart+P3sg
satmak	sat+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kalacak	kal+Verb+Pos+Fut+A3sg
ettiği	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
suçlamalarda	suçla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
bulundu	bulun+Verb+Pos+Past+A3sg
verdiği	ver+Verb+Pos^DB+Adj+PastPart+P3sg
yaptığı	yap+Verb+Pos^DB+Adj+PastPart+P3sg
açıklamalarda	açıkla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
bulunduğunu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
etti	et+Verb+Pos+Past+A3sg
olmasından	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
olduğunu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
söyledi	söyle+Verb+Pos+Past+A3sg
açtığı	aç+Verb+Pos^DB+Adj+PastPart+P3sg
yapılacak	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
getirme	getir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
başlayan	başla+Verb+Pos^DB+Adj+PresPart
büyürken	büyü+Verb+Pos+Aor^DB+Adverb+While
hazırlanan	hazırla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
uyguladıkları	uygula+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Nom
seçti	seç+Verb+Pos+Past+A3sg
oluşturduğu	oluş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
araştırmalar	araştır+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
ulaştırdığı	ulaş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
savunduğu	savun+Verb+Pos^DB+Adj+PastPart+P3sg
koydu	koy+Verb+Pos+Past+A3sg
uygulandığı	uygula+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
olmalarına	ol+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Dat
çekildi	çek+Verb^DB+Verb+Pass+Pos+Past+A3sg
sağlanan	sağla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
alınmaları	al+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
istendi	iste+Verb^DB+Verb+Pass+Pos+Past+A3sg
bırakma	bırak+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
geldi	gel+Verb+Pos+Past+A3sg
yapılan	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
açıklamada	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc
yıkmaya	yık+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ulaştığı	ulaş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
edildi	et+Verb^DB+Verb+Pass+Pos+Past+A3sg
sığınılarak	sığın+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yürütülen	yürü+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
çalışmaların	çalış+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Gen
düzenlemeler	düzenle+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
olduğuna	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Dat
yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
söylediğin	söyle+Verb+Pos^DB+Adj+PastPart+P2sg
verdi	ver+Verb+Pos+Past+A3sg
konuştuğumu	konuş+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
biliyorum	bile+Verb+Pos+Prog1+A1sg
ilgileneceğini	ilgilen+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
olsaydım	ol+Verb+Pos+Desr+Past+A1sg
olsaydı	ol+Verb+Pos+Desr+Past+A3sg
yapardım	yap+Verb+Pos+Aor+Past+A1sg
endişelenme	endişe+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oynamaya	oyna+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
olduğu	ol+Verb+Pos^DB+Adj+PastPart+P3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
gördüm	gör+Verb+Pos+Past+A1sg
görmek	gör+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
sevdiğin	sev+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
sanırım	san+Verb+Pos+Aor+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
sevecek	sev+Verb+Pos+Fut+A3sg
yapmış	yap+Verb+Pos+Narr+A3sg
olur	ol+Verb+Pos+Aor+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
gülerek	gül+Verb+Pos^DB+Adverb+ByDoingSo
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
eskimiş	eski+Verb+Pos+Narr+A3sg
indiler	in+Verb+Pos+Past+A3pl
geçmişti	geç+Verb+Pos+Narr+Past+A3sg
etmesi	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gerekiyordu	gerek+Verb+Pos+Prog1+Past+A3sg
dinlemesi	dinle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gitmek	git+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
istiyordu	iste+Verb+Pos+Prog1+Past+A3sg
geldiğinde	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
yaratacaktı	yara+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayrıldılar	ayır+Verb^DB+Verb+Pass+Pos+Past+A3pl
girdiğini	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
hissettiği	hisset+Verb+Pos^DB+Adj+PastPart+P3sg
dolanmış	dola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dururken	dur+Verb+Pos+Aor^DB+Adverb+While
oynarken	oyna+Verb+Pos+Aor^DB+Adverb+While
öpüp	öp+Verb+Pos^DB+Adverb+AfterDoingSo
okşadı	okşa+Verb+Pos+Past+A3sg
inerken	in+Verb+Pos+Aor^DB+Adverb+While
bekliyordu	bekle+Verb+Pos+Prog1+Past+A3sg
girdiğinde	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
vermeden	ver+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
oturdu	otur+Verb+Pos+Past+A3sg
uçuşup	uçuş+Verb+Pos^DB+Adverb+AfterDoingSo
dolaşıyorlardı	dolaş+Verb+Pos+Prog1+A3pl+Past
kalan	kal+Verb+Pos^DB+Adj+PresPart
durmaksızın	dur+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
yiyip	ye+Verb+Pos^DB+Adverb+AfterDoingSo
bitiren	bit+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
işitiyordu	işit+Verb+Pos+Prog1+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
bilmek	bil+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
düşünüyordu	düşün+Verb+Pos+Prog1+Past+A3sg
verilmiş	ver+Verb^DB+Verb+Pass+Pos+Narr+A3sg
olmalıydı	ol+Verb+Pos+Neces+Past+A3sg
izliyordu	izle+Verb+Pos+Prog1+Past+A3sg
çıkarmış	çık+Verb+Pos+Aor+Narr+A3sg
dökülüyordu	dök+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
çekiştirip	çekiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
durmaktaydı	dur+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
vurduğunda	vur+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
kalkarak	kalk+Verb+Pos^DB+Adverb+ByDoingSo
gitti	git+Verb+Pos+Past+A3sg
dönerek	dön+Verb+Pos^DB+Adverb+ByDoingSo
baktı	bak+Verb+Pos+Past+A3sg
ıslanmıştı	ısla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
dileyen	dile+Verb+Pos^DB+Adj+PresPart
yalvarış	yalvar+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
gördü	gör+Verb+Pos+Past+A3sg
döndürdü	dön+Verb^DB+Verb+Caus+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
bakışlarını	bak+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
dolandırıyordu	dolan+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
söyle	söyle+Verb+Pos+Imp+A2sg
geçirdi	geç+Verb^DB+Verb+Caus+Pos+Past+A3sg
ferahlama	ferahla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
solumasıydı	solu+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çektiği	çek+Verb+Pos^DB+Adj+PastPart+P3sg
gelip	gel+Verb+Pos^DB+Adverb+AfterDoingSo
çatmıştı	çat+Verb+Pos+Narr+Past+A3sg
yaratıyordu	yara+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
olmuş	ol+Verb+Pos^DB+Adj+NarrPart
hatırlatmıştı	hatırla+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
acı	acı+Verb+Pos+Imp+A2sg
ederek	et+Verb+Pos^DB+Adverb+ByDoingSo
sıkarak	sık+Verb+Pos^DB+Adverb+ByDoingSo
salladı	salla+Verb+Pos+Past+A3sg
biliyordum	bile+Verb+Pos+Prog1+Past+A1sg
sevdik	sev+Verb+Pos+Past+A1pl
yaşasaydı	yaşa+Verb+Pos+Desr+Past+A3sg
geçinmemizi	geçin+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Acc
ederdi	et+Verb+Pos+Aor+Past+A3sg
konuşma	konuş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
haykırdı	haykır+Verb+Pos+Past+A3sg
verme	ver+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
seven	sev+Verb+Pos^DB+Adj+PresPart
söylüyor	söyle+Verb+Pos+Prog1+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
duygulanmıştı	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+Past+A3sg
eğilip	eğ+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
öptü	öp+Verb+Pos+Past+A3sg
verdimse	ver+Verb+Pos+Past+A1sg+Cond
kal	kal+Verb+Pos+Imp+A2sg
ilgilenmen	ilgilen+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
gereken	gerek+Verb+Pos^DB+Adj+PresPart
unutma	unut+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
verirse	ver+Verb+Pos+Aor+Cond+A3sg
bulacak	bul+Verb+Pos+Fut+A3sg
sürecek	sür+Verb+Pos+Fut+A3sg
öldüreceğim	öl+Verb^DB+Verb+Caus+Pos+Fut+A1sg
ederim	et+Verb+Pos+Aor+A1sg
eden	et+Verb+Pos^DB+Adj+PresPart
gösterdi	göster+Verb+Pos+Past+A3sg
etmesinden	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
olurdu	ol+Verb+Pos+Aor+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
taşınması	taşı+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
edilmesi	et+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
koşturuyorlardı	koş+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
yerleştirilmesi	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
kayboluyordu	kaybol+Verb+Pos+Prog1+Past+A3sg
uğurlama	uğurla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
sallarken	salla+Verb+Pos+Aor^DB+Adverb+While
duydu	duy+Verb+Pos+Past+A3sg
olduğunun	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
kalmış	kal+Verb+Pos+Narr+A3sg
kederlendiğini	keder+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ilgilenmek	ilgilen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
söyleyerek	söyle+Verb+Pos^DB+Adverb+ByDoingSo
hatırladı	hatırla+Verb+Pos+Past+A3sg
bulunmuştu	bulun+Verb+Pos+Narr+Past+A3sg
açıklanmış	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
güleceklerini	gül+Verb+Pos^DB+Noun+FutPart+A3pl+P3pl+Acc
hissetti	hisset+Verb+Pos+Past+A3sg
hazırlanmış	hazırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
katılmak	kat+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
göründüğünde	görün+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
eğilmiş	eğ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bekleyen	bekle+Verb+Pos^DB+Adj+PresPart
yapılmaya	yap+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
bulunur	bul+Verb^DB+Verb+Pass+Pos+Aor+A3sg
geçirilseler	geç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Desr+A3pl
görünürler	görün+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
konuşurken	konuş+Verb+Pos+Aor^DB+Adverb+While
bakarak	bak+Verb+Pos^DB+Adverb+ByDoingSo
evlenmek	evlen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
nişanlandı	nişanla+Verb^DB+Verb+Pass+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
yapmak	yap+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
yapabileceği	yap+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+P3sg
kıyılan	kıy+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
diyerek	de+Verb+Pos^DB+Adverb+ByDoingSo
evlendiğini	evlen+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
söyledim	söyle+Verb+Pos+Past+A1sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
düşün	düşün+Verb+Pos+Imp+A2sg
bulunan	bulun+Verb+Pos^DB+Adj+PresPart
davranış	davran+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
olacak	ol+Verb+Pos+Fut+A3sg
evlenmesini	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
sağlamak	sağla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
istiyorsan	iste+Verb+Pos+Prog1+Cond+A2sg
söylemen	söyle+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
yapıyorsa	yap+Verb+Pos+Prog1+Cond+A3sg
bozacak	boz+Verb+Pos+Fut+A3sg
edecek	et+Verb+Pos^DB+Adj+FutPart+Pnon
bağlanmış	bağla+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
yudumlayarak	yudumla+Verb+Pos^DB+Adverb+ByDoingSo
değerlendirmelerde	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
çizdiğin	çiz+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
görünüşlerini	görün+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
